Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4674959,4760.6,5402.27,2642.16,24.4397,27.7338,13.5642
4677430,4932.36,5640.3,2775.7,25.3081,28.9405,14.2422
4674533,4997.26,5755.36,2832.48,25.657,29.5492,14.5425
4678484,4746.23,5432.75,2643.19,24.3476,27.8693,13.5592
4675957,4793.74,5459.99,2659.31,24.6045,28.0242,13.6493
4674739,4746.13,5484.38,2646.41,24.3665,28.1567,13.5866
4671967,4786.86,5500.7,2662.48,24.5902,28.2572,13.6772
4670635,4750.66,5497.11,2641.56,24.4112,28.2468,13.5736
4672936,4716.1,5403.17,2621.19,24.2217,27.7504,13.4623
4675697,4756.53,5462,2626.76,24.4149,28.036,13.483
4680290,4819.31,5541.61,2661.64,24.7129,28.4167,13.6486
4672959,4762.83,5516.35,2642.52,24.4616,28.3316,13.5718
4676629,4766.71,5495.5,2644.88,24.4623,28.2024,13.5732
4672805,4772.41,5507.33,2650.38,24.5116,28.2862,13.6126
4676618,4780.81,5469.77,2640.99,24.5347,28.0704,13.5533
4672543,4744.81,5452.09,2625.29,24.3712,28.0041,13.4845
4673304,4737.38,5446.12,2619.63,24.329,27.9688,13.4532
4677472,4749.96,5463.94,2636.7,24.3719,28.0353,13.5288
4674089,4721.22,5448.97,2612.08,24.242,27.9788,13.4122
4677161,4755.6,5440.38,2633.23,24.4025,27.9163,13.512
4673452,4762.62,5461.17,2631.2,24.4579,28.0452,13.5122
4678466,4744.09,5438.32,2625.29,24.3366,27.898,13.4674
4674424,4685.84,5376.76,2595.88,24.0586,27.606,13.3281
4676152,4680.07,5359.09,2600.73,24.0201,27.5051,13.348
4678370,4731.14,5439.19,2619.14,24.2707,27.903,13.4362
4675170,4755.78,5464.59,2628.79,24.4138,28.0525,13.4949
4677293,4766.67,5491,2634.98,24.4586,28.1752,13.5205
4677181,4721.79,5441.3,2614.22,24.2289,27.9209,13.4143
4673599,4710.1,5393.91,2608.54,24.1875,27.699,13.3954
4675742,4753.7,5458.85,2628.77,24.4002,28.0196,13.4931
4672738,4730.14,5393.71,2617.48,24.2948,27.703,13.4438
4673397,4745.75,5454.55,2623.51,24.3716,28.0116,13.4729
4675553,4719.34,5442.29,2612.2,24.2248,27.9357,13.4086
4677993,4742.22,5439.78,2628.19,24.3295,27.9083,13.4837
4671276,4720.98,5402.31,2615.36,24.2554,27.7559,13.4372
4678629,4749.58,5419.59,2628.72,24.3639,27.8009,13.4846
4676978,4726.13,5389.1,2616.05,24.2522,27.6543,13.4243
4675561,4729.53,5430.04,2619.61,24.277,27.8728,13.4467
4678263,4696.91,5328.33,2591.15,24.0957,27.3349,13.2929
4679181,4722.56,5387,2624.51,24.2225,27.6305,13.4614
4677780,4730.64,5451.96,2619.52,24.2712,27.972,13.4398
4676055,4723.52,5404.92,2615.11,24.2436,27.7409,13.4221
4681586,4744.81,5435.5,2622.2,24.3241,27.8649,13.4426
4675177,4718.12,5406.7,2619.81,24.2205,27.7553,13.4488
4679773,4768.79,5439.92,2639.28,24.4565,27.8984,13.5354
4677394,4778.91,5490.65,2646.99,24.5209,28.1729,13.5819
4677139,4768.84,5456.99,2624.93,24.4705,28.0017,13.4694
4679936,4762.1,5469.56,2634.58,24.4214,28.0494,13.5108
4677645,4744.1,5425.5,2617.82,24.341,27.8371,13.4315
4673465,4745.1,5472.37,2625.87,24.3679,28.1027,13.4849
4676279,4741.64,5479.02,2618.11,24.3355,28.1199,13.4369
4675895,4720.78,5438.88,2612.87,24.2304,27.9162,13.4111
4680038,4778.69,5463.39,2648.12,24.5059,28.0171,13.58
4677635,4704.11,5421.51,2613.35,24.1358,27.8167,13.4085
4675011,4751.66,5422.9,2626.24,24.3935,27.8394,13.4823
4676061,4727.36,5436.68,2626,24.2633,27.9039,13.478
4680353,4756.57,5467.62,2624.94,24.3908,28.037,13.4602
4679182,4732.1,5415.35,2613.4,24.2714,27.7759,13.4044
4678510,4800.21,5523.95,2655.43,24.6243,28.337,13.6219
4675310,4727.67,5419.4,2618.89,24.2688,27.8197,13.4437
4678626,4775.94,5428.89,2627.52,24.4992,27.8486,13.4784
4674892,4709.29,5387.71,2599.32,24.1766,27.6594,13.3444
4675498,4742.94,5446.26,2618.41,24.3462,27.9564,13.4407
4676865,4748.91,5436.04,2618.25,24.3697,27.8958,13.4359
4680936,4720.61,5419.52,2611.68,24.2034,27.7869,13.3905
4674776,4763.98,5414.89,2629.3,24.458,27.7997,13.4987
4673959,4720.32,5383.54,2612.87,24.2381,27.6436,13.4167
4677487,4745.72,5461.24,2621.06,24.3501,28.0214,13.4486
4677373,4753.66,5447.37,2629.01,24.3914,27.9509,13.4897
4677140,4717.31,5357.98,2601.49,24.2061,27.4936,13.3491
4676208,4724.26,5451.98,2610.28,24.2466,27.9815,13.3969
4675280,4716.93,5361.26,2607.22,24.2138,27.5214,13.3838
4676933,4741.43,5381.34,2622.53,24.331,27.6147,13.4577
4678399,4773.42,5446.49,2632.62,24.4874,27.9403,13.5052
4677639,4757.85,5411.09,2625.29,24.4116,27.7632,13.4698
4675092,4757.11,5398.46,2624.61,24.4211,27.7135,13.4737
4673677,4673.81,5354.38,2592.09,24.0007,27.4955,13.3108
4676294,4709.73,5358.02,2595.73,24.1716,27.4988,13.322
4675790,4742.01,5413.37,2619.51,24.3399,27.7859,13.4455
4676091,4700.58,5411.67,2600.77,24.1257,27.7754,13.3484
4670785,4723.01,5395.47,2607.68,24.2683,27.7236,13.3991
4673957,4721.52,5422.31,2616.38,24.2442,27.8427,13.4347
4676372,4734.51,5404.51,2621.45,24.2984,27.737,13.4538
4676931,4741.33,5464.42,2623.82,24.3305,28.0411,13.4643
4672884,4719.13,5438.44,2608.58,24.2375,27.9319,13.3977
