Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4414620,4164.49,4887.37,2417.1,22.6402,26.5701,13.1405
4412070,4321.32,5095.67,2536.46,23.5063,27.7185,13.7974
4413795,4419.6,5229.41,2610.8,24.0316,28.4349,14.1962
4415674,4510.97,5340.64,2661.98,24.518,29.0274,14.4683
4412989,4506.63,5393.2,2683.25,24.5093,29.3309,14.5928
4412230,4203.41,4971.44,2455.49,22.8641,27.0418,13.3564
4411182,4223.23,4983.06,2450.86,22.9774,27.1114,13.3344
4414271,4238.12,5015.64,2451.11,23.0423,27.2696,13.3264
4416710,4259.81,5029.26,2462.97,23.1474,27.3285,13.3835
4414089,4246.83,5033.15,2447.14,23.0906,27.3659,13.3055
4414051,4210.87,4964.18,2434.04,22.8953,26.9912,13.2343
4412139,4197.59,4930.43,2420.8,22.8329,26.8193,13.168
4412757,4201.2,4920.78,2425.34,22.8494,26.763,13.1909
4411734,4198.13,4983.84,2423.8,22.838,27.1123,13.1856
4410252,4162.64,4937.32,2407.56,22.6525,26.8682,13.1016
4412571,4194.22,4996.65,2433.03,22.8124,27.1768,13.2333
4414497,4191.1,4927.76,2416.13,22.7855,26.7904,13.1356
4415718,4150.91,4902.82,2402.01,22.5607,26.6475,13.0553
4415509,4178.29,4894.13,2393.85,22.7106,26.6015,13.0115
4413111,4177.44,4902.52,2417.03,22.7183,26.6616,13.1446
4410434,4197.65,4919.49,2415.71,22.8421,26.7701,13.1454
4412292,4177.82,4930.28,2417.56,22.7246,26.8175,13.15
4413237,4186.27,4922.98,2415.53,22.7657,26.7721,13.1361
4414853,4197.18,4931.08,2411.85,22.8167,26.8063,13.1113
4408807,4152.8,4879.3,2394.81,22.6064,26.5612,13.0365
4411732,4147.18,4903.77,2393.52,22.5608,26.6767,13.0209
4409927,4174.59,4917.67,2410.24,22.7192,26.7633,13.1172
4415468,4187.3,4952.93,2418.13,22.7598,26.9213,13.1436
4411295,4165.06,4910.01,2395.7,22.6604,26.7133,13.034
4409945,4158.4,4924.95,2408.97,22.6311,26.8028,13.1102
4413494,4146.4,4880.47,2397,22.5476,26.5394,13.0346
4415545,4151.65,4891.4,2388.73,22.5656,26.5864,12.9836
4411459,4152.05,4902.9,2391.16,22.5887,26.6736,13.0088
4415242,4186.22,4855.88,2416.1,22.7551,26.3952,13.1332
4411826,4137.9,4918.52,2392.51,22.5098,26.7564,13.0151
4414112,4181.17,4921.01,2398.27,22.7335,26.756,13.0396
4411249,4159.85,4900.7,2394.08,22.6322,26.6629,13.0253
4410345,4177.4,4881.9,2391.33,22.7324,26.5661,13.013
4411149,4174.19,4917.98,2405.97,22.7108,26.7575,13.0903
4411522,4198.83,4880.52,2421.19,22.8429,26.5515,13.172
4414712,4171.55,4910.83,2404.71,22.6781,26.6971,13.0729
4411219,4120.98,4870.9,2378.72,22.4209,26.501,12.9419
4410688,4157.31,4947.5,2397.48,22.6213,26.921,13.0455
4410401,4135.17,4889.68,2383.75,22.5023,26.6081,12.9716
4410634,4168.12,4927.37,2405.33,22.6804,26.8117,13.0883
4413127,4139.44,4908.81,2386.24,22.5116,26.6957,12.9771
4413410,4173.11,4895.1,2409.79,22.6933,26.6194,13.1044
4411858,4170.23,4894.82,2402.61,22.6856,26.6272,13.0699
4414974,4178.48,4908.22,2410,22.7144,26.6813,13.1009
4411071,4169.11,4945.72,2405.72,22.6835,26.909,13.0892
4411630,4184.71,4920.22,2405.23,22.7655,26.7668,13.0848
4415644,4185.25,4945.61,2413.42,22.7478,26.8805,13.1175
4411986,4168.38,4926.7,2399.55,22.6748,26.7999,13.0529
4413754,4158.54,4927.96,2392.95,22.6123,26.796,13.0118
4410426,4155.31,4868.28,2393.03,22.6118,26.4915,13.022
4414241,4165.51,4906.94,2396.41,22.6477,26.6788,13.0292
4414106,4140.17,4915.87,2399.54,22.5106,26.7282,13.0466
4413743,4199.95,4942.7,2407.64,22.8375,26.8762,13.0917
4411317,4174.05,4902.03,2405.06,22.7092,26.6697,13.0848
4417081,4116.92,4864.18,2361.67,22.3691,26.4293,12.832
4418593,4181.51,4914.44,2403.81,22.7122,26.6932,13.0565
4413760,4177.91,4915.92,2405.51,22.7176,26.7305,13.0801
4417876,4150.82,4900.84,2401.09,22.5492,26.6237,13.0438
4411289,4179.2,4943.2,2413.48,22.7373,26.8939,13.1308
4413577,4186.02,4905.39,2412.34,22.7626,26.6744,13.1178
4413759,4153.71,4902.06,2402.74,22.586,26.6551,13.065
4415490,4157.94,4894.2,2386.52,22.6001,26.602,12.9717
4415309,4176.54,4921.67,2408.59,22.7021,26.7524,13.0922
4412745,4161.66,4913.11,2398.33,22.6344,26.7214,13.044
4414096,4161.5,4922.8,2395.43,22.6266,26.7659,13.0243
4415228,4152.78,4902.37,2401.11,22.5734,26.648,13.0518
4414172,4163.21,4887.23,2396.84,22.6355,26.572,13.0317
4414070,4181.5,4937.02,2413.57,22.7355,26.8434,13.123
4413421,4176.33,4943.22,2408.92,22.7107,26.881,13.0996
4414952,4170.69,4924.16,2405.83,22.6722,26.7681,13.0783
4413995,4173.18,4918.62,2403.85,22.6906,26.7438,13.0704
4416772,4154.88,4848.87,2385.85,22.5769,26.3479,12.9643
4415541,4181.32,4910.28,2410.42,22.7269,26.6891,13.1015
4411451,4171.19,4902.69,2402.07,22.6929,26.6725,13.0682
4413394,4121,4819.07,2364.47,22.41,26.2061,12.858
4415537,4191.71,4922.8,2413.94,22.7834,26.7572,13.1206
4415881,4190.27,4924.33,2414.13,22.7738,26.7634,13.1206
4414372,4160.08,4903.07,2393.69,22.6175,26.657,13.014
4412746,4159.9,4929.19,2403.41,22.6248,26.8089,13.0717
4412109,4141.42,4885.86,2387.04,22.5276,26.577,12.9845
4413293,4190.55,4941.77,2416.92,22.7887,26.8739,13.1435
4414049,4167.14,4918.02,2400.25,22.6575,26.7402,13.0506
4413493,4176.67,4930.61,2409.15,22.7122,26.812,13.1007
4414600,4147.9,4883.99,2401.17,22.5501,26.5518,13.054
4410608,4096.9,4829.71,2367.82,22.293,26.2805,12.8843
4414385,4129.52,4838.55,2394.09,22.4513,26.3061,13.0161
4412600,4166.78,4892.42,2397.24,22.663,26.6098,13.0385
4413147,4157.83,4887.87,2398.69,22.6115,26.5817,13.0448
4412229,4178.87,4903.44,2398.56,22.7306,26.6719,13.0468
4416291,4184.32,4951.98,2416.84,22.7393,26.9112,13.1342
4411020,4143.37,4893.98,2389.4,22.5437,26.6278,13.0005
4412752,4187.83,4928.57,2412.16,22.7767,26.8054,13.1192
4415204,4190.23,4954.58,2420.11,22.7771,26.9319,13.1551
4414638,4173.34,4922.88,2402.18,22.6882,26.763,13.0593
4410333,4129.17,4909.04,2391.47,22.47,26.7138,13.0138
4411112,4135.77,4896.21,2386.21,22.5019,26.6393,12.9829
4411316,4151.58,4912.62,2397.59,22.5869,26.7274,13.0442
4418509,4164.55,4928.05,2410.08,22.6206,26.7677,13.0908
4412749,4167.35,4935.19,2403.92,22.6653,26.8414,13.0744
4414462,4194.01,4942.87,2413.1,22.8015,26.8728,13.1192
4409769,4138.77,4880.27,2391.41,22.5251,26.5607,13.0152
4412624,4174.68,4935.04,2414.41,22.7058,26.8414,13.1319
4413312,4184.5,4876.69,2400.29,22.7557,26.5199,13.053
4409723,4145.66,4891.67,2380.93,22.5628,26.623,12.9583
