Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5093331,5626.61,5665.13,2851.19,26.5128,26.6944,13.4349
5092601,5846.87,5808.19,2958.07,27.5547,27.3724,13.9405
5096660,5899.59,5946.86,3012.21,27.781,28.0035,14.1844
5094144,5500.76,5499.62,2757.12,25.9157,25.9103,12.9896
5093448,5479.09,5509.16,2751.12,25.8171,25.9588,12.9631
5093396,5516.2,5532.68,2755.93,25.9922,26.0699,12.9859
5090678,5517.6,5513.07,2756.12,26.0127,25.9914,12.9937
5093943,5473.98,5444.78,2727.29,25.7905,25.6529,12.8496
5090890,5463.02,5477.37,2722.38,25.7543,25.822,12.8341
5091931,5465.56,5478.54,2728,25.761,25.8222,12.858
5094042,5463.63,5498.04,2728.06,25.7413,25.9034,12.8529
5090504,5412.13,5450.95,2718.3,25.5164,25.6994,12.8159
5095581,5477.88,5436.85,2720.4,25.8006,25.6074,12.813
5095212,5454.34,5449.09,2721.85,25.6916,25.6669,12.8207
5090147,5468.23,5433.78,2720.68,25.7827,25.6202,12.828
5091001,5435.44,5459.7,2708.52,25.6237,25.7381,12.7685
5090531,5442.87,5440.11,2710.17,25.6612,25.6481,12.7775
5090725,5387.41,5384.19,2687.27,25.3987,25.3835,12.669
5091316,5449.06,5443.78,2709.72,25.6864,25.6615,12.7734
5091148,5420.91,5410.76,2696.66,25.5545,25.5067,12.7122
5091261,5407.46,5420.99,2702.13,25.4905,25.5543,12.7377
5092298,5424.81,5429.07,2703.27,25.5671,25.5872,12.7405
5091514,5497.09,5470.73,2731.87,25.9118,25.7875,12.8773
5093928,5451.02,5463.26,2707.78,25.6824,25.7401,12.7577
5091951,5422.65,5376.63,2687.31,25.5587,25.3418,12.6662
5094166,5387.47,5328.05,2694.63,25.3818,25.1019,12.6951
5090828,5438.08,5396.87,2699.55,25.6371,25.4428,12.7267
5092800,5430,5427.17,2703.87,25.589,25.5757,12.7421
5091122,5451.77,5440.89,2713.15,25.7001,25.6489,12.79
5092046,5423.66,5436.84,2709.87,25.563,25.6251,12.7722
5094552,5429.5,5428.1,2691.39,25.5779,25.5713,12.6789
5089513,5428.06,5427.3,2698.04,25.5965,25.5929,12.7228
5092040,5436.47,5412.17,2703.82,25.6234,25.5089,12.7437
5093563,5425,5428.61,2693.6,25.5617,25.5787,12.6918
5092767,5466.74,5441.41,2723.18,25.7624,25.643,12.8332
5090736,5421.53,5428.29,2702.16,25.5595,25.5914,12.7392
5092580,5442.3,5435.42,2706.73,25.6481,25.6157,12.7561
5093435,5423.59,5409.08,2702.99,25.5557,25.4873,12.7364
5092530,5450.07,5476.41,2705.34,25.685,25.8091,12.7497
5092609,5426.88,5427.22,2694.59,25.5753,25.5769,12.6988
5093913,5397.39,5428.83,2681.47,25.4298,25.578,12.6338
5095024,5396.52,5364,2684.39,25.4202,25.267,12.6448
5093549,5395.72,5404.97,2679.71,25.4238,25.4674,12.6264
5094275,5432.69,5432.25,2705.72,25.5943,25.5922,12.7471
5089827,5424.2,5375.1,2694.19,25.5767,25.3451,12.7039
5093124,5412.43,5403.81,2698.63,25.5046,25.464,12.7166
5092131,5435.31,5413.15,2695.02,25.6175,25.513,12.702
5092562,5418.76,5402.99,2693.84,25.5373,25.463,12.6954
5091721,5452.31,5413.92,2706.61,25.6996,25.5187,12.7577
5091002,5448.6,5431.94,2712.63,25.6858,25.6073,12.7879
5090338,5440.14,5443.62,2713.59,25.6492,25.6657,12.7941
5091273,5407.08,5425.57,2701.09,25.4887,25.5759,12.7328
5090530,5263.65,5303,2629.64,24.8162,25.0017,12.3978
5094183,5213.62,5231.11,2596.83,24.5627,24.6451,12.2343
5089715,5314.1,5266.47,2629.48,25.0581,24.8335,12.399
5091727,5358.38,5376.36,2665.93,25.2569,25.3416,12.5659
5090458,5420.17,5395.05,2683.82,25.5545,25.4361,12.6534
5092319,5385.55,5373.39,2686.83,25.382,25.3247,12.663
5090825,5412.48,5381.74,2688.69,25.5164,25.3715,12.6755
5093092,5406.67,5376.46,2684.77,25.4776,25.3353,12.6513
5092697,5396.78,5379.52,2684.45,25.433,25.3517,12.6508
5087377,5411.53,5394.06,2687.1,25.5292,25.4468,12.6766
5093521,5447.35,5406.02,2706.89,25.6672,25.4725,12.7545
5091488,5441.72,5378.22,2696.13,25.6509,25.3516,12.7089
5090635,5416.37,5442.05,2706.04,25.5357,25.6568,12.7577
5092552,5443.49,5419.18,2700.35,25.6539,25.5393,12.7261
5093963,5436.28,5445.63,2700.78,25.6128,25.6569,12.7246
5094971,5438.96,5384.24,2708.26,25.6204,25.3626,12.7573
5090606,5417.61,5401.96,2692.21,25.5417,25.4679,12.6926
5092460,5405.49,5363.27,2688.51,25.4753,25.2763,12.6705
5094312,5436.1,5388.82,2708.87,25.6102,25.3875,12.7619
5091535,5430.04,5397.58,2701.14,25.5956,25.4426,12.7324
5089057,5411.84,5376.15,2684.6,25.5222,25.3539,12.6606
5091322,5383.97,5360.23,2668.73,25.3795,25.2676,12.5802
5092388,5430.13,5390.96,2706.28,25.5917,25.4071,12.7545
5093387,5444.73,5435.76,2710.72,25.6555,25.6132,12.7729
5093422,5441.56,5388.54,2702.98,25.6404,25.3906,12.7363
5094344,5426.78,5368.87,2690.23,25.5662,25.2933,12.674
5089621,5431.56,5403.92,2696.12,25.6124,25.4821,12.7135
5092997,5406.59,5392.1,2691.66,25.4778,25.4095,12.6841
5092353,5389.94,5318.45,2689.74,25.4025,25.0656,12.6766
5093081,5399.12,5387.42,2682.71,25.4421,25.387,12.6417
5091319,5437.53,5443.34,2715.26,25.632,25.6594,12.7995
5091486,5414.28,5399.08,2695.66,25.5215,25.4499,12.7067
5091981,5412.88,5363.45,2698.02,25.5125,25.2795,12.7166
5090851,5434.43,5373.85,2700.3,25.6198,25.3341,12.7302
5093050,5441.19,5382.01,2686.71,25.6406,25.3617,12.6606
5093238,5433.76,5392.26,2702.03,25.6046,25.409,12.7323
5092944,5421.55,5355.08,2684.42,25.5485,25.2353,12.6501
5090864,5413.75,5443.86,2705.99,25.5222,25.6642,12.7569
5093647,5395.04,5400.15,2683.57,25.4201,25.4442,12.6443
5091661,5451.57,5395.72,2703.21,25.6965,25.4332,12.7418
5092324,5430.59,5406.79,2681.49,25.5942,25.4821,12.6378
5091783,5406.97,5411.73,2691.25,25.4856,25.5081,12.6851
5091203,5396.38,5385.52,2686.01,25.4386,25.3874,12.6619
5093132,5444.69,5417.68,2711.96,25.6566,25.5294,12.7794
5093639,5453.97,5434.42,2713.49,25.6978,25.6057,12.7853
5093102,5412.7,5448.58,2695.67,25.506,25.6751,12.7027
5095316,5419.85,5385.78,2694.35,25.5286,25.3681,12.6909
5093894,5422.37,5455.18,2696.1,25.5476,25.7022,12.7027
5093764,5459.49,5404.34,2711.86,25.7232,25.4633,12.7773
5093752,5415.6,5389.3,2690.95,25.5165,25.3925,12.6788
5091817,5416.77,5401.35,2698.56,25.5317,25.4589,12.7195
5094129,5412.25,5423.8,2696.74,25.4988,25.5532,12.7052
5092552,5405.38,5379.77,2674.96,25.4743,25.3536,12.6064
5091337,5409.24,5418.49,2683.56,25.4985,25.5421,12.65
5093074,5438.36,5424.46,2696.22,25.6271,25.5616,12.7053
5092058,5417.97,5407.75,2696.72,25.5361,25.4879,12.7102
5093454,5406.41,5395.37,2691.92,25.4746,25.4226,12.6841
5090998,5434.53,5408.39,2698.92,25.6195,25.4962,12.7233
5092331,5468.59,5460.97,2706.69,25.7733,25.7374,12.7565
5092102,5429.88,5438.9,2697.32,25.592,25.6345,12.713
5092852,5439.95,5397.88,2690.61,25.6357,25.4374,12.6795
