Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4416572,4108.25,5024.9,2489.21,22.3246,27.3057,13.5265
4416716,4215.21,5123.19,2563.13,22.905,27.8389,13.9278
4416734,4285.41,5220.92,2617.52,23.2864,28.3698,14.2233
4412286,4250.97,5183.57,2590.78,23.1225,28.1953,14.0922
4413660,3989.05,4873.62,2403.86,21.6911,26.5011,13.0714
4415939,4004.58,4847.73,2396.57,21.7643,26.3467,13.025
4414896,4004.37,4925.1,2398.55,21.7683,26.7735,13.0388
4417736,3993.94,4929.72,2392.49,21.6977,26.7814,12.9976
4416039,3964.37,4840.55,2387.3,21.5453,26.3071,12.9743
4412913,4005.77,4885.98,2396.71,21.7857,26.5728,13.0347
4416834,3970.29,4879.71,2388.47,21.5736,26.5152,12.9784
4417687,3935.59,4803.93,2350.33,21.3809,26.0984,12.7687
4418156,3975.09,4894.63,2380.21,21.5932,26.5883,12.9296
4415450,3967.66,4852.87,2378.78,21.5661,26.3776,12.9297
4413772,3938.44,4850.33,2356.23,21.4154,26.3738,12.8121
4416263,3912.12,4792.25,2339.37,21.2603,26.0433,12.7132
4414446,3972.66,4882.53,2375.74,21.5981,26.5449,12.9162
4415449,3947.62,4826.34,2357.09,21.4571,26.2334,12.8119
4415422,3928.76,4831.57,2355.46,21.3548,26.262,12.8031
4413813,3949.3,4801.74,2351.03,21.4742,26.1093,12.7836
4414765,3930.82,4791.44,2351.71,21.3691,26.0477,12.7846
4413995,3911.98,4796.52,2344.43,21.2704,26.0799,12.7472
4415188,3965.28,4794.57,2358.16,21.5544,26.0622,12.8185
4413931,3933.29,4793.06,2357.87,21.3866,26.0615,12.8205
4415793,3920.24,4775.68,2342.95,21.3066,25.956,12.734
4414637,3946.09,4830.05,2371.32,21.4528,26.2584,12.8916
4415133,3918.77,4811.37,2357.09,21.3019,26.1539,12.8128
4416668,3951.32,4813.77,2367.52,21.4713,26.1578,12.865
4414403,3927.36,4840.26,2354.06,21.3521,26.3153,12.7984
4413249,3912.04,4772.16,2335.95,21.2743,25.9518,12.7033
4417137,3961.88,4824.94,2364.78,21.5264,26.2157,12.8488
4412993,3904.73,4758.26,2331.03,21.2358,25.8777,12.6773
4413150,3910.44,4796.39,2349.78,21.2661,26.0842,12.7788
4415356,3945.81,4849.41,2369.38,21.4477,26.3593,12.8789
4414245,3945.74,4807.41,2354.24,21.4527,26.1376,12.7999
4416262,3930.43,4835.13,2356.25,21.3598,26.2763,12.805
4412416,3944.11,4812.61,2363.18,21.4528,26.1767,12.8538
4413631,3902.83,4776.28,2327.5,21.2224,25.972,12.6562
4417871,3933.41,4833.89,2365.93,21.3682,26.26,12.8529
4416848,3950.65,4825.07,2362.02,21.4668,26.2182,12.8346
4415655,3939.32,4816.97,2357.55,21.411,26.1812,12.8138
4414292,3937.65,4806.95,2349.47,21.4086,26.1348,12.7738
4418042,3932.4,4791.77,2351.05,21.3619,26.0302,12.7715
4417032,3934.85,4839.67,2358.91,21.3801,26.2964,12.8172
4416892,3928.92,4826.85,2349.46,21.3485,26.2276,12.7662
4416213,3933.84,4782.12,2339.91,21.3785,25.9885,12.7163
4415606,3928.82,4810.59,2358.27,21.3542,26.1468,12.8178
4415757,3944.41,4810.1,2347.53,21.4382,26.1433,12.759
4416216,3907.96,4767.28,2335.18,21.2379,25.9078,12.6906
4416978,3924.42,4795.69,2350.32,21.3236,26.0578,12.7707
4417666,3946.11,4799.47,2360.64,21.4382,26.0742,12.8248
4415476,3915.96,4798.28,2334.34,21.2849,26.0807,12.6881
4415309,3939.25,4835.99,2356.52,21.4123,26.2866,12.8092
4417808,3947.24,4804.42,2356.74,21.4436,26.1003,12.8031
4416653,3910.11,4766.24,2333.17,21.2475,25.8996,12.6784
4413175,3928.83,4823.76,2353.49,21.366,26.2329,12.7989
4412824,3937.42,4826.63,2348.74,21.4144,26.2505,12.7741
4418631,3936.4,4785.69,2352.22,21.3808,25.9937,12.7762
4414176,3950.14,4810.37,2360.39,21.477,26.1541,12.8335
4416201,3902.83,4770.28,2339.77,21.2101,25.9242,12.7156
4417367,3938.11,4808.68,2351.66,21.3961,26.126,12.7768
4412794,3889.16,4776.14,2322.59,21.1521,25.9762,12.6319
4414065,3942.77,4830.32,2353.51,21.4375,26.2632,12.7964
4414514,3903.5,4798.19,2346.75,21.2218,26.0859,12.7584
