Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5136142,4547.08,5769.66,2987.11,21.2474,26.9603,13.9581
5130261,4673.71,5974.28,3078.93,21.8642,27.9484,14.4036
5134207,4635.24,5908.23,3060.98,21.6676,27.6182,14.3087
5130319,4634.04,5910.88,3070.13,21.6784,27.6515,14.3623
5130381,4670.88,6031.62,3088.87,21.8505,28.216,14.4498
5131911,4649.56,6028.3,3076.45,21.7442,28.1921,14.3874
5131139,4687.89,6071.38,3097.84,21.9268,28.3978,14.4896
5134921,4632.31,5987.71,3059.54,21.6508,27.9858,14.2999
5133560,4663.41,6004.39,3065.07,21.802,28.0712,14.3296
5133611,4656.61,6054,3067.42,21.77,28.3029,14.3404
5135706,4660.91,6058.35,3084.04,21.7812,28.3117,14.4122
5131946,4639.75,5949.22,3053.84,21.6982,27.8221,14.2816
5133001,4634.86,5973.38,3060.54,21.6709,27.9293,14.3099
5134401,4613.3,5925.65,3033.73,21.5642,27.6986,14.1807
5131131,4615.94,5949.08,3041.49,21.5903,27.8258,14.2261
5131882,4586.15,5853.04,3011.86,21.4478,27.3726,14.0854
5136600,4624.89,5973.06,3047.54,21.6091,27.9082,14.2392
5133696,4676.83,6026.94,3065.06,21.8642,28.1759,14.3291
5136204,4620.07,5985.27,3041.74,21.5883,27.9674,14.2132
5132441,4639.21,5957.55,3048.07,21.6936,27.8583,14.2532
5133853,4647.73,6035.92,3076.09,21.7275,28.217,14.3803
5130806,4672.14,6037.12,3082.98,21.8545,28.2394,14.421
5132885,4662.19,6029.27,3083.39,21.7992,28.1913,14.4171
5132377,4655.26,5942.17,3055.87,21.7689,27.7867,14.2899
5134952,4676.22,6008.26,3082.77,21.8559,28.0817,14.4084
5133042,4644,5974.14,3062.23,21.7134,27.9326,14.3177
5135400,4585.04,5886.69,3025.59,21.4279,27.5111,14.1399
5132023,4573.41,5906.13,3014.96,21.3876,27.6201,14.0995
5136038,4587.75,5911.95,3036.61,21.4379,27.6257,14.1897
5135381,4588.41,5925.87,3027.72,21.4438,27.6943,14.15
5135848,4600.8,5971.21,3058.43,21.4997,27.9037,14.2922
5135077,4643.65,5998.35,3068.51,21.7032,28.0347,14.3414
5136344,4641.39,6002.94,3070.41,21.6873,28.0492,14.3468
5135727,4686.5,6063.04,3105.9,21.9007,28.3335,14.5143
5130542,4614.05,5931.96,3049.27,21.5839,27.7489,14.2641
5134393,4638.33,6008.77,3063.58,21.6812,28.0871,14.3203
5131527,4668.15,6038.02,3091.28,21.8328,28.2397,14.4578
5135816,4628.39,5924,3045.81,21.6288,27.6832,14.2333
5135816,4622.2,5951.2,3047.6,21.5999,27.8103,14.2416
5132948,4669.36,5974.58,3062.92,21.8324,27.9352,14.3212
5133648,4614.63,5984.03,3048.99,21.5736,27.9756,14.2541
5136678,4457.77,5764.84,2951.16,20.828,26.9349,13.7886
5134603,4613.72,5948.47,3043.75,21.5653,27.8041,14.227
5134275,4601.16,5962.99,3051.26,21.508,27.8738,14.263
5133708,4641.84,6003.54,3067.56,21.7005,28.0665,14.3408
5134092,4629.62,6000.49,3072.13,21.6418,28.0501,14.3611
5133903,4633.67,5945.39,3047.88,21.6615,27.7936,14.2483
5133302,4630.45,5948.69,3052.84,21.649,27.8122,14.2731
5133817,4659.28,5977.85,3075.57,21.7816,27.9457,14.378
5132515,4623.12,5983.12,3056.71,21.618,27.9775,14.2934
5134879,4605.73,5940.45,3037.91,21.5268,27.7652,14.199
5133371,4595.85,5935.46,3045.22,21.4869,27.75,14.2373
5134312,4600.89,5955.09,3040.56,21.5065,27.8367,14.2129
5134098,4645.86,5994.23,3073.05,21.7177,28.0208,14.3654
5131864,4621.12,5991.98,3052.55,21.6114,28.0225,14.2757
