Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5831598,6742.72,7524.01,4183.58,27.7497,30.9652,17.2176
5830444,7106.47,7964.56,4464.97,29.2526,32.7847,18.3793
5832070,7081.75,7901.56,4428.7,29.1427,32.5163,18.2249
5831617,6714.34,7436.91,4125.22,27.6329,30.6066,16.9773
5828977,6681.56,7489.82,4110.87,27.5104,30.8383,16.9259
5829284,6700.32,7488.76,4116.52,27.5862,30.8323,16.9483
5831620,6658.88,7397.56,4078.57,27.4046,30.4446,16.7853
5830566,6679.78,7486.8,4090.4,27.4956,30.8175,16.8371
5831107,6634.46,7386.95,4074.63,27.3065,30.4036,16.7706
5829061,6701.12,7491.87,4085.73,27.5905,30.8463,16.8222
5831164,6632.1,7371.62,4071.54,27.2965,30.3402,16.7577
5833770,6680.29,7413.41,4085.21,27.4826,30.4986,16.8065
5832777,6676.07,7430.15,4081.57,27.4699,30.5727,16.7943
5828837,6698.18,7506.73,4094.03,27.5795,30.9087,16.857
5831965,6623.88,7424.79,4063.68,27.2589,30.5549,16.7231
5831385,6599.59,7409.94,4053.65,27.1617,30.4968,16.6834
5831607,6633.82,7442.24,4076.44,27.3015,30.6286,16.7766
5832835,6564.39,7277.04,4027.12,27.0101,29.9424,16.5701
5830411,6608.76,7483.65,4069.62,27.204,30.8053,16.752
5830006,6581.29,7320.8,4045.65,27.0928,30.1371,16.6545
5831276,6620.68,7386.54,4064.17,27.249,30.401,16.7271
5832377,6688.31,7484.94,4111.97,27.5221,30.8002,16.9206
5830147,6613.2,7367.74,4050.95,27.2235,30.3296,16.6759
5831242,6619.01,7386.7,4083.92,27.2423,30.4019,16.8084
5829541,6628.63,7401.46,4064.6,27.2898,30.4715,16.7338
5832193,6735.19,7542.06,4126.9,27.7159,31.0363,16.9826
5831768,6652.86,7466.85,4088.98,27.3791,30.729,16.8277
5828768,6564.85,7290.3,4020.29,27.0308,30.0179,16.5536
5830315,6628.24,7372.88,4053.8,27.2846,30.3498,16.6871
5830695,6603.89,7423.07,4051.28,27.1826,30.5545,16.6757
5830149,6579.2,7374.52,4033.76,27.0835,30.3574,16.6051
5833608,6612.76,7381.22,4063.53,27.2055,30.367,16.7177
5833165,6615.4,7341.83,4051.61,27.2184,30.2073,16.67
5832711,6605.51,7378.34,4064.75,27.1799,30.3598,16.7253
