Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4378577,5004.34,4589.93,2265.69,27.4299,25.1585,12.4188
4384337,5122.89,4747.97,2328.2,28.0429,25.9905,12.7447
4379286,5134.38,4763.36,2345.88,28.1382,26.1048,12.8562
4382496,5170.58,4751.48,2358.07,28.3158,26.0207,12.9136
4378887,5222.53,4757.24,2369.5,28.6238,26.0737,12.9869
4385255,5193.88,4780.92,2375,28.4255,26.1654,12.9981
4378460,5000.1,4604.08,2277.36,27.4074,25.2367,12.483
4383645,5007.36,4575.03,2251.9,27.4148,25.0478,12.3289
4382379,4984.72,4606.39,2259.58,27.2987,25.2268,12.3745
4382929,4996.07,4582.23,2262.61,27.3574,25.0913,12.3896
4380609,4978.18,4556.63,2244.04,27.2739,24.9643,12.2944
4381680,5003.46,4567.8,2255.41,27.4057,25.0195,12.3537
4381867,4992.13,4551.94,2246.93,27.3425,24.9315,12.3067
4381298,4953.91,4517.51,2230.49,27.1366,24.7462,12.2182
4384865,4957.92,4551.92,2243.12,27.1366,24.9143,12.2774
4379836,4971.59,4544.65,2236.03,27.2426,24.9031,12.2527
4381368,4974.87,4520.28,2240.74,27.251,24.7609,12.2742
4385339,4978.16,4554.43,2231.01,27.2444,24.9254,12.2098
4381609,4977.19,4547.41,2247.55,27.2623,24.9082,12.3108
4381938,4934.54,4493.81,2220.8,27.0266,24.6127,12.1634
4381733,4947.7,4499.77,2224.39,27.0999,24.6465,12.1836
4381922,4942.03,4525.56,2229.23,27.0677,24.7867,12.2096
4383005,4960.21,4533.41,2236.51,27.1606,24.8236,12.2465
4382747,4953.03,4520.51,2239.04,27.1229,24.7544,12.261
4381335,4959.44,4546.17,2241.11,27.1668,24.9029,12.2763
4381790,4955.65,4505.12,2238.13,27.1432,24.6755,12.2587
4386002,4944.94,4579.7,2249.51,27.0585,25.0599,12.3092
4380279,4926.86,4518.75,2224.34,26.9948,24.7587,12.1874
4386136,4923.51,4534.64,2220.01,26.9404,24.8126,12.1474
4378314,5002.56,4612.14,2273.11,27.4218,25.2817,12.4602
4383219,4935.17,4553.17,2230.55,27.0222,24.9306,12.2132
4381956,4912.99,4535.57,2223.53,26.9085,24.8413,12.1783
4382109,4970.93,4555.49,2240.84,27.2249,24.9496,12.2726
4381089,4969.98,4552.52,2247.36,27.226,24.9391,12.3112
4383852,4923.1,4525.51,2224.68,26.9522,24.7756,12.1793
4381175,5047.87,4632.59,2280.09,27.6522,25.3772,12.4903
4381572,5057.94,4665.71,2306.85,27.7048,25.5563,12.6357
4383624,5031.64,4592.05,2273.73,27.5478,25.1411,12.4485
4381660,4943.51,4519.51,2228.96,27.0775,24.7551,12.2088
4383046,4947.74,4543.99,2242.86,27.0921,24.8813,12.2811
4382799,4959.86,4541.38,2245.11,27.1599,24.8684,12.2941
4384415,4971.49,4575.23,2240.01,27.2136,25.0445,12.2617
4384123,4933.43,4547.73,2232.2,27.0071,24.8956,12.2197
4382197,5012.95,4568.67,2259.05,27.4545,25.0213,12.3722
4384023,4984.23,4571.24,2250.4,27.2858,25.0249,12.3196
