Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4681209,4497.83,5210.62,2528.35,23.0599,26.7142,12.9625
4676552,4591.87,5345.61,2612,23.5654,27.4336,13.4047
4677334,4733.51,5552.02,2707.4,24.2882,28.4881,13.892
4674830,4770.31,5558.18,2724.21,24.4902,28.535,13.9858
4676501,4826.89,5652.87,2776.84,24.7718,29.0108,14.2508
4678983,4874.21,5691.19,2800.7,25.0014,29.1919,14.3657
4677067,4841.17,5696.04,2786.99,24.8421,29.2288,14.3012
4679886,4657.16,5408.26,2652.32,23.8834,27.7353,13.602
4679088,4708.19,5528.56,2690.71,24.1493,28.3571,13.8012
4674831,4591.15,5386.5,2607.43,23.5704,27.6536,13.3862
4677232,4605.58,5378.05,2619.29,23.6323,27.5961,13.4402
4677943,4724.83,5491.57,2692.98,24.2405,28.1743,13.8162
4676999,4673.87,5443.75,2663.29,23.9839,27.9346,13.6667
4673064,4656.85,5437.51,2653.4,23.9167,27.9261,13.6274
4678013,4699.97,5521.03,2682.81,24.1126,28.325,13.7638
4674331,4719.46,5493.11,2695.84,24.2317,28.2039,13.8416
4680240,4706.34,5512.56,2686.47,24.1339,28.2681,13.7761
4676009,4772.44,5577.98,2731.43,24.4949,28.6294,14.0193
4674522,4681.3,5486.26,2665.39,24.0348,28.1676,13.6847
4676235,4636.81,5447.63,2654.92,23.7977,27.9591,13.6259
4675988,4630.43,5378.24,2624.52,23.7662,27.6044,13.4706
4678649,4896.38,5745.88,2814.42,25.1169,29.4745,14.4371
4677229,4697.16,5468.29,2682.2,24.1023,28.0591,13.763
4676026,4779.44,5587.13,2734.26,24.5308,28.6763,14.0338
4678505,4749.21,5556.49,2720.06,24.3627,28.5039,13.9535
4675448,4843.44,5701.64,2786.55,24.8623,29.2676,14.3039
4677284,4786.64,5619.75,2745.91,24.5611,28.8359,14.0898
4676519,4671.35,5480.27,2666.56,23.9735,28.1249,13.6848
4677128,4772.63,5572.5,2721.4,24.4901,28.5945,13.9645
4673875,4817.82,5670.59,2777.65,24.7391,29.1181,14.263
4673777,4824.14,5667.47,2787.05,24.7721,29.1027,14.3116
4677666,4709.77,5553.39,2692.35,24.1647,28.4931,13.8138
4673332,4755.03,5573.05,2732.92,24.4196,28.6205,14.0349
4675834,4741.74,5561.26,2714.58,24.3383,28.5447,13.9333
4674742,4677.32,5455.94,2662.27,24.0132,28.0107,13.668
4675996,4913.83,5755.91,2838.14,25.2207,29.5428,14.567
4676572,4829.99,5636.28,2776.96,24.7873,28.9252,14.2513
4672221,4766.13,5571.97,2741.92,24.4824,28.6218,14.0845
4674122,4661.5,5444.66,2661.43,23.9352,27.9564,13.6655
4674878,4677.1,5480.41,2671.06,24.0114,28.1355,13.7127
4675318,4637.45,5437.91,2644.15,23.8056,27.9146,13.5733
4675663,4740.25,5533.69,2704.61,24.3315,28.4042,13.8826
4676519,4816.71,5650.11,2763.85,24.7194,28.9965,14.1841
4677178,4880.43,5692.15,2804.97,25.0429,29.2081,14.3932
4678105,4742.2,5527.13,2701.01,24.3288,28.3557,13.8569
4677149,4753.06,5545.49,2710.89,24.3895,28.4558,13.9105
4672212,4627.06,5392.75,2630.88,23.7681,27.7012,13.5142
4676074,4876.36,5713.55,2820.53,25.028,29.3248,14.4764
4678358,4664.86,5472.36,2659.45,23.9308,28.0733,13.643
4681329,4622.3,5410.3,2632.09,23.6974,27.7373,13.4941
4676379,4808.69,5624.61,2756.89,24.6791,28.8665,14.1488
4674374,4663.3,5498.16,2663.81,23.9431,28.2296,13.677
4677640,4809.97,5618.86,2756.68,24.679,28.8292,14.144
4676343,4736.68,5555.76,2714.75,24.3097,28.5134,13.9327
4675078,4673.08,5426.04,2660.34,23.9898,27.8551,13.6571
4673242,4785.21,5619.52,2754.3,24.575,28.8597,14.145
4670142,4856.49,5717.27,2794.45,24.9576,29.3812,14.3608
4672871,4725.15,5519.57,2699.76,24.2685,28.3487,13.866
4677304,4874.68,5677.84,2795.63,25.0128,29.1339,14.3448
4677333,4637.19,5438.26,2645.86,23.794,27.9044,13.5763
4673468,4741.06,5577.46,2718.06,24.3471,28.6424,13.9582
4677224,4796.08,5586.35,2742.88,24.6099,28.6649,14.0744
4675786,4624.61,5382.47,2633.42,23.7373,27.6273,13.5169
4676103,4902.75,5742.09,2824.32,25.1633,29.4712,14.4957
4677241,4887.34,5767.07,2830.06,25.0781,29.5922,14.5217
4671624,4731.94,5544.55,2716.38,24.3099,28.4846,13.9551
4671698,4531.5,5343.64,2595.76,23.2798,27.452,13.3353
4677891,4827.55,5686.25,2779.03,24.7678,29.1734,14.2579
4675268,4720.01,5536,2702.25,24.2297,28.4185,13.8717
4674548,4670.23,5446.06,2667.47,23.9778,27.9611,13.6953
4675028,4744.28,5588.65,2717.1,24.3555,28.6902,13.9487
4676006,4634.24,5432.13,2645.71,23.7856,27.8809,13.5793
4680503,4804.22,5660.27,2766.93,24.6344,29.0239,14.1879
4673808,4706.48,5497.57,2683.68,24.1678,28.23,13.7807
4675198,4673.07,5470.63,2661.86,23.9891,28.0833,13.6646
4676612,4652.05,5452,2657.82,23.8739,27.9792,13.6397
4675768,4852.86,5686.25,2784.09,24.909,29.1866,14.2903
4679511,4723.31,5563.12,2707.27,24.2246,28.5318,13.8849
4676219,4767.27,5599.87,2742.3,24.4673,28.7405,14.0744
4675355,4869.78,5707.84,2794.56,24.9981,29.3,14.3453
4673087,4683.32,5485.01,2667.16,24.0525,28.1699,13.698
4676310,4648.97,5466.45,2660.74,23.8597,28.0552,13.6556
4675073,4795.91,5637.35,2757.03,24.6203,28.94,14.1535
4675655,4782.94,5582.35,2733.33,24.5507,28.6541,14.0301
4675584,4713.05,5508.26,2698.03,24.1923,28.2742,13.8491
4678343,4693.65,5497.98,2675.2,24.0785,28.2048,13.7238
4678166,4695.6,5521.19,2678.39,24.0894,28.3249,13.7407
4678179,4723.16,5534.35,2696.6,24.2308,28.3923,13.8341
4672794,4680.37,5481.12,2666.99,24.0389,28.1516,13.698
4678912,4851.92,5707.91,2789.38,24.8874,29.2782,14.3079
4674520,4716.08,5518.06,2697.97,24.2134,28.3309,13.852
4676592,4817.23,5665.67,2768.57,24.7217,29.0759,14.2081
4676023,4707.99,5514.07,2697.95,24.1641,28.3013,13.8474
4676713,4823.67,5665.52,2764.45,24.7542,29.0744,14.1867
4677056,4795.22,5624.17,2747.49,24.6064,28.86,14.0986
4676549,4993.58,5899.04,2894.1,25.627,30.2738,14.8525
4680103,4922.37,5782.9,2844.32,25.2424,29.6553,14.5859
4673981,4763.5,5558.27,2716.38,24.4597,28.5406,13.9481
4677697,4842.99,5653.71,2772.21,24.8481,29.0076,14.2235
4677341,4985.57,5851.76,2879.91,25.5816,30.0261,14.7772
4672868,4751.54,5564.58,2718.4,24.4041,28.5798,13.9618
4675333,4806.24,5605.74,2746.13,24.672,28.7761,14.0968
4676587,4794.86,5605.47,2737.5,24.607,28.767,14.0487
4682033,4739.86,5539.97,2698.5,24.2964,28.3978,13.8324
4676569,4787.92,5625.05,2744.13,24.5714,28.8676,14.0828
4677662,4808.27,5617.59,2763.84,24.6701,28.8226,14.1806
4678375,4667.81,5493.54,2663.27,23.9458,28.1818,13.6625
4671418,4677.52,5491.74,2679.06,24.0313,28.2145,13.764
4675921,4673.57,5512.61,2672.09,23.9879,28.2945,13.715
4677159,4770.67,5607.97,2733.51,24.4798,28.7763,14.0265
4673558,4779.79,5611.26,2740.38,24.5456,28.8153,14.0726
4675101,4669.97,5454.38,2666.55,23.9737,28.0005,13.689
