Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
3931557,3429.26,4438.48,2152.39,20.9338,27.0945,13.1392
3930880,3359.05,4369.47,2113.77,20.5087,26.6778,12.9056
3934158,3351.51,4363.13,2101.06,20.4456,26.6169,12.8173
3929332,3377.6,4407.66,2127.46,20.6301,26.9216,12.9943
3933269,3354.72,4368.76,2104.33,20.4698,26.6573,12.8402
3932084,3333.18,4361.99,2095.67,20.3445,26.624,12.7912
3933499,3319.71,4327.12,2093.58,20.255,26.4017,12.7738
3933631,3325.79,4352.96,2095.73,20.2914,26.5584,12.7866
3933393,3324.22,4360.15,2099.1,20.2831,26.6039,12.8079
3933587,3329.74,4386.24,2105.56,20.3157,26.7618,12.8467
3933811,3305.04,4329.76,2079.93,20.1639,26.4157,12.6896
3934593,3326.52,4344.24,2091.72,20.2909,26.4988,12.759
3931395,3317.67,4371.6,2090.56,20.2534,26.6873,12.7622
3934322,3320.01,4361.74,2096.75,20.2526,26.6073,12.7905
3928954,3344.14,4390.23,2102.43,20.4277,26.8177,12.8427
3932219,3334.48,4394.89,2111.11,20.3518,26.8239,12.885
3934088,3323.81,4351.26,2091.95,20.277,26.545,12.762
3930908,3328.04,4331.5,2079.63,20.3192,26.4458,12.6971
3931928,3308.86,4333.74,2091.33,20.1969,26.4526,12.7652
3934586,3354.17,4356.09,2122.01,20.4596,26.5711,12.9437
3932364,3325.34,4353.13,2092.12,20.2952,26.568,12.7686
3928903,3311.74,4343.1,2098.09,20.23,26.5301,12.8163
3931090,3333.06,4363.61,2098.02,20.3489,26.6406,12.8088
3931730,3329.21,4348.46,2099.77,20.3221,26.5438,12.8174
3936048,3330.47,4332.14,2097.32,20.3075,26.4152,12.7884
3934210,3311.02,4311.02,2090.3,20.1984,26.2987,12.7515
3934408,3432.65,4486.03,2177.11,20.9393,27.3649,13.2804
3931914,3418.44,4464.9,2160.2,20.8658,27.2533,13.1857
