Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
3780376,3349.54,4202.54,2057.83,21.2648,26.6802,13.0643
3781800,3393.24,4257.66,2091.29,21.5341,27.0199,13.2717
3778787,3399.57,4294.9,2104.62,21.5915,27.278,13.367
3784001,3420.37,4309.65,2119.81,21.6937,27.334,13.4449
3781087,3443.63,4358.65,2134.53,21.8581,27.666,13.5487
3780999,3445.38,4359.33,2130.18,21.8697,27.671,13.5214
3779521,3441.14,4380.67,2147.23,21.8513,27.8173,13.6349
3781746,3303.51,4181.53,2028.47,20.965,26.5372,12.8732
3780359,3256.77,4084.9,2000.4,20.676,25.9334,12.6997
3780359,3268.49,4127.13,2001.02,20.7503,26.2015,12.7037
3780123,3244.21,4107.07,1994.59,20.5975,26.0758,12.6637
3782292,3238.81,4107.45,1995.76,20.5514,26.0632,12.6638
3781957,3235.92,4112.77,1992.96,20.5349,26.0993,12.6472
3780714,3414.27,4325.75,2115.2,21.6738,27.4599,13.4273
3779820,3354.69,4272.41,2088.88,21.3006,27.1277,13.2634
3780682,3225.07,4096.86,1979.88,20.4729,26.0071,12.5684
3778829,3250.54,4127.53,1995.35,20.6447,26.2147,12.6728
3780895,3414.75,4323.09,2116.19,21.6758,27.4417,13.4329
3779890,3370.56,4299.67,2095.73,21.401,27.3003,13.3066
3782901,3285.74,4160.55,2017.45,20.8458,26.3959,12.7994
3780729,3234.24,4090.31,1974.01,20.5309,25.9652,12.531
3781993,3336.04,4229.62,2060.54,21.1701,26.8406,13.0759
3781409,3278.12,4159.39,2017.81,20.8057,26.399,12.8067
3781888,3246.93,4120.21,2015.78,20.6051,26.147,12.7922
3781236,3253.35,4115.08,2004.45,20.6494,26.119,12.7225
3782801,3238.58,4098.17,1990.38,20.5472,26.0009,12.6279
3782900,3351.55,4274.4,2076.07,21.2634,27.1182,13.1713
3780825,3318.53,4187.48,2039.44,21.0654,26.5814,12.946
