Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2361023,2231.22,2385.81,1143.31,22.6806,24.252,11.6219
2364152,2288.12,2455.21,1181.51,23.2281,24.9244,11.9943
2364639,2296.33,2470.71,1186.4,23.3067,25.0766,12.0414
2363469,2309.6,2469.9,1193.04,23.453,25.0808,12.1148
2363957,2311.91,2469.44,1194.66,23.4716,25.0709,12.1288
2365167,2355.51,2518.32,1220.29,23.902,25.5541,12.3827
2364432,2347.48,2514.26,1216.11,23.8279,25.5208,12.344
2363550,2407.12,2578.94,1255.16,24.4424,26.1871,12.7452
2361129,2379.57,2550.77,1230.95,24.1875,25.9276,12.5122
2365808,2393.26,2566.98,1239.57,24.2785,26.0408,12.5748
2364161,2456.88,2634.97,1288.68,24.9413,26.7491,13.0822
2363790,2387.54,2586.35,1246.32,24.2411,26.2596,12.6541
2364886,2389.3,2581.95,1248.62,24.2477,26.2028,12.6716
2364819,2422.73,2602.11,1264.68,24.5877,26.4082,12.8349
2365417,2445.76,2625.03,1270.89,24.8152,26.634,12.8947
2363081,2463.73,2640.03,1296.03,25.0222,26.8128,13.1628
2362416,2418.52,2589.33,1252.51,24.57,26.3052,12.7244
2364253,2444.65,2603.51,1268.7,24.8162,26.4287,12.8789
2364218,2439.16,2610.14,1268.16,24.7608,26.4964,12.8736
2363125,2442.68,2618.65,1277.35,24.8079,26.5951,12.9729
2363986,2490.66,2673.74,1308.86,25.286,27.1447,13.288
2364357,2443.77,2631.36,1282.6,24.8061,26.7102,13.0194
2365376,2438.58,2627.06,1281.57,24.7427,26.6552,13.0033
2362565,2453.38,2645.78,1284,24.9225,26.877,13.0435
2363382,2486.72,2666.22,1308.49,25.2525,27.0754,13.2876
2365243,2442.07,2638.53,1286.71,24.7796,26.773,13.0562
2365356,2467.1,2647.01,1285.03,25.0323,26.8578,13.0385
2364061,2453.84,2641.43,1287.34,24.9115,26.8159,13.0691
2366002,2476.49,2665.36,1304.63,25.1207,27.0366,13.2338
2363340,2466.63,2663.66,1302.63,25.049,27.0498,13.2284
2365669,2475.79,2663.14,1304.35,25.1172,27.0178,13.2328
