Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2617111,2251.28,3455.51,1868.27,20.6452,31.6885,17.1328
2617014,2165.52,3351.41,1801.5,19.8594,30.7349,16.5211
2616529,2169.37,3379.8,1816.3,19.8985,31.0011,16.6599
2616115,2174.51,3389.19,1824.43,19.9488,31.0921,16.7372
2616782,2167.17,3396.4,1811.11,19.8763,31.1503,16.6107
2616301,2174.86,3420.62,1830.85,19.9505,31.3783,16.7949
2616888,2214.55,3454.33,1848.23,20.3101,31.6803,16.9504
2617144,2202.95,3483.09,1861.89,20.2017,31.941,17.0741
2616707,2198.24,3456.24,1844.98,20.1619,31.7001,16.9218
2616391,2201.66,3460.2,1849.63,20.1957,31.7402,16.9665
2616708,2154.49,3438.01,1841.06,19.7607,31.5328,16.8859
2616696,2180.75,3396.31,1816.96,20.0015,31.1505,16.6649
2616220,2177.47,3441.31,1838.95,19.9751,31.569,16.8697
2616702,2189.63,3463.22,1851.93,20.083,31.7641,16.9856
2616490,2162.06,3386.04,1807.15,19.8317,31.0588,16.5762
2616922,2195.31,3449.99,1844.05,20.1334,31.6401,16.9119
2616448,2180.26,3405.61,1822.43,19.999,31.2388,16.7167
2616736,2176.04,3427.5,1827.55,19.9581,31.4361,16.7618
2616017,2198.76,3431.14,1841.89,20.172,31.4782,16.898
2616534,2183.01,3443.09,1829.99,20.0236,31.5815,16.7855
2616074,2194.91,3415.7,1833.99,20.1363,31.3358,16.8251
2616875,2181.36,3468.85,1836.87,20.0058,31.8137,16.8464
2616609,2174.37,3438.97,1832.17,19.9437,31.5429,16.805
2617102,2170.53,3445.3,1833.01,19.9047,31.595,16.8095
2616407,2167.68,3425.45,1831.37,19.8838,31.4213,16.7989
2616622,2184.87,3426.45,1823.32,20.0399,31.4278,16.7238
2617116,2177.15,3408.56,1807.2,19.9654,31.2579,16.5728
2616084,2173.19,3434.3,1831.14,19.9369,31.5063,16.7989
2616802,2188.18,3445.81,1834.9,20.0689,31.6032,16.8288
