Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2650379,2159.82,3401.68,1781.18,19.5578,30.8032,16.1291
2649294,2148.57,3349.43,1744.26,19.464,30.3426,15.8013
2649591,2129.22,3364.92,1756.96,19.2865,30.4795,15.9146
2650483,2150.93,3379.82,1760.54,19.4766,30.6041,15.9416
2649006,2155.19,3387.9,1774.52,19.526,30.6944,16.0771
2650371,2160.53,3457.5,1810.97,19.5643,31.3088,16.399
2649800,2218.23,3486.57,1823.51,20.0912,31.5789,16.5161
2650902,2224.06,3509.01,1831.91,20.1356,31.7689,16.5853
2649766,2228.95,3542.07,1848.93,20.1885,32.082,16.7465
2649199,2213.71,3449.86,1805.71,20.0548,31.2534,16.3586
2648966,2225.43,3511.88,1831.77,20.1627,31.8181,16.5961
2650666,2250.7,3510.97,1836.01,20.3786,31.7895,16.6239
2650033,2234.57,3535.24,1844.33,20.2374,32.0169,16.7031
2650146,2246.73,3530.03,1846.44,20.3466,31.9683,16.7215
2650539,2232.5,3556.57,1852.34,20.2148,32.2039,16.7725
2649817,2226.36,3531.52,1836.96,20.1646,31.9858,16.6378
2649406,2242.87,3539.07,1844.58,20.3174,32.0591,16.7094
2648889,2254.93,3511.63,1838.74,20.4305,31.8168,16.6597
2649461,2229.41,3556.98,1850.09,20.195,32.2207,16.7589
2649794,2235.42,3525.95,1851.4,20.2469,31.9356,16.7687
2650676,2260.95,3534.56,1851.02,20.4713,32.003,16.7597
2649821,2254.23,3525.35,1842.97,20.417,31.9298,16.6922
2650377,2240.11,3517.69,1846.02,20.2849,31.8538,16.7163
2650178,2258.4,3554,1853.04,20.452,32.185,16.7811
2650576,2249.33,3565.14,1859.87,20.3668,32.2811,16.8404
2648704,2259.7,3534.43,1848.2,20.4752,32.0256,16.7466
2650606,2225.09,3558.26,1856.74,20.1471,32.2184,16.8119
2650422,2263.71,3540.42,1848.07,20.4982,32.0591,16.7346
2650067,2274.66,3537.2,1849.63,20.6002,32.0342,16.7509
2649795,2232.82,3503.58,1831.07,20.2234,31.733,16.5846
2648929,2259.2,3561.2,1864.21,20.469,32.2654,16.8902
2650056,2266.08,3560.93,1850.54,20.5225,32.2493,16.7593
2649808,2259.22,3567,1856.82,20.4623,32.3073,16.8177
2649101,2249.87,3541.28,1846.07,20.3831,32.0828,16.7248
2650062,2263.19,3543.66,1845.85,20.4964,32.0928,16.7167
2650581,2255.29,3528.59,1843.05,20.4208,31.9501,16.6881
2649471,2246.77,3571.05,1869.33,20.3522,32.3481,16.9332
2651220,2250.62,3576.36,1856.22,20.3736,32.3748,16.8033
2652124,2265.43,3541.2,1851.64,20.5007,32.0456,16.7561
2650191,2247.27,3573.22,1861.78,20.3512,32.3589,16.8602
2650500,2268.53,3566.49,1859.09,20.5413,32.2942,16.8339
2648777,2240.09,3531.38,1841.99,20.297,31.997,16.6899
2649215,2257.27,3517.52,1842.72,20.4493,31.8662,16.6937
2650957,2245.21,3565.77,1863.69,20.3266,32.2821,16.8726
2648925,2251.57,3539.48,1845.32,20.3998,32.0687,16.7191
2649494,2272.98,3549.73,1859.17,20.5894,32.1546,16.841
2650719,2248.26,3576.83,1868.47,20.3561,32.3851,16.9174
2650575,2255.89,3541.48,1855.79,20.4263,32.0668,16.8035
2649142,2254.17,3531.51,1839.9,20.4217,31.9938,16.6686
2649087,2235.02,3542.58,1855.2,20.2486,32.0948,16.8076
2651626,2246.61,3577.69,1872.26,20.3342,32.3819,16.946
2648898,2245.8,3548.87,1851.24,20.3478,32.1541,16.7729
2649934,2267.31,3565.25,1857.93,20.5346,32.2898,16.8269
2648466,2252.41,3535.82,1850.1,20.411,32.0411,16.7654
2650436,2259.32,3557.37,1852.84,20.4584,32.2124,16.7776
2649768,2222.95,3554.62,1852.43,20.1342,32.1956,16.7782
2648571,2252.97,3505.51,1825.41,20.4153,31.7651,16.541
2650097,2242.14,3540.1,1854.24,20.3054,32.0601,16.7925
2649581,2252.06,3569.5,1857.34,20.3992,32.3326,16.8238
2648631,2235.49,3547.71,1860.08,20.2564,32.1468,16.8548
2648597,2251.23,3533.27,1849.31,20.3993,32.0163,16.7574
2650262,2236.37,3545.9,1848.07,20.252,32.1107,16.7356
2650729,2276.52,3570.9,1859.87,20.6118,32.3314,16.8395
2650126,2269.06,3569.1,1861.44,20.549,32.3224,16.8575
2649865,2254.54,3569.49,1854.2,20.4195,32.3291,16.7936
2650564,2247.06,3574.07,1869.56,20.3464,32.362,16.9283
2650170,2270.96,3538.35,1850.63,20.5659,32.0434,16.7594
2649283,2238.97,3554.25,1862.69,20.2829,32.1982,16.8742
2649498,2261.02,3542.39,1839.53,20.4811,32.0881,16.663
2650753,2238.78,3527.22,1841.61,20.27,31.9356,16.674
2650856,2262.56,3544.37,1851.89,20.4845,32.0896,16.7664
2648805,2249.8,3556.67,1855.93,20.3847,32.2259,16.816
2650785,2266.06,3577,1860.92,20.5168,32.3859,16.8486
2650492,2245.81,3571.47,1858.63,20.3357,32.3394,16.8298
2651054,2252.59,3535.35,1837.68,20.3927,32.0055,16.6365
2647837,2255.53,3544.56,1861.74,20.4441,32.1279,16.8748
2649469,2254.62,3561.89,1856.75,20.4233,32.2651,16.8193
2649325,2250.64,3559.76,1865.26,20.3884,32.2475,16.8972
2649384,2246.76,3548.66,1842.55,20.3528,32.1463,16.6911
2649947,2262.79,3548.41,1841.49,20.4936,32.1372,16.678
2649346,2256.42,3549.87,1843.49,20.4406,32.1577,16.6999
2648883,2243.94,3592.16,1854.74,20.3311,32.5465,16.8047
2649825,2260.99,3557.81,1836.27,20.4782,32.2238,16.6314
2651557,2259.8,3553.72,1856.12,20.4541,32.1657,16.8003
2650407,2262.42,3587.66,1855,20.4867,32.4871,16.7974
2649335,2226.19,3568.36,1852.88,20.1668,32.3253,16.785
2648483,2234.56,3538.8,1833.38,20.2491,32.0679,16.6137
2649956,2232.32,3569.46,1853.69,20.2176,32.3278,16.7884
2648396,2246.47,3485.21,1819.05,20.3577,31.5832,16.4844
2648761,2245.59,3586.72,1858.83,20.3469,32.4987,16.8426
2651174,2230.9,3576.31,1854.86,20.1954,32.3749,16.7913
2650281,2252.51,3590.23,1862.05,20.398,32.5119,16.862
2650663,2222.21,3491.5,1811.46,20.1206,31.6132,16.4016
2649492,2236.05,3552.12,1827.9,20.2549,32.1763,16.5578
2650023,2245.12,3530.48,1831.11,20.333,31.9739,16.5835
2650352,2219.91,3550.71,1837.75,20.1022,32.1531,16.6416
2650579,2238.11,3532.7,1832.82,20.2653,31.9873,16.5955
2647932,2238.21,3530.26,1831.37,20.2864,31.9971,16.5989
2650564,2204.43,3521.62,1818.29,19.9604,31.8871,16.464
2649283,2214.6,3492.45,1804.16,20.0622,31.6383,16.344
2649997,2229.38,3552.58,1835.35,20.1906,32.1743,16.6221
2651457,2221.23,3523.97,1827.55,20.1057,31.8977,16.5423
2648371,2223.33,3507.83,1822.52,20.1482,31.7885,16.516
2649889,2219.4,3491.43,1800.85,20.101,31.6218,16.3102
2650142,2212.77,3505,1819.94,20.0391,31.7417,16.4816
2651004,2250.95,3564.14,1845.86,20.3782,32.2668,16.7109
2649212,2214.03,3515.91,1821.37,20.0576,31.8516,16.5004
2650411,2218.27,3555.55,1834.77,20.0868,32.1962,16.6142
2649057,2204.92,3526.21,1831.68,19.9762,31.9468,16.5947
2650891,2236.48,3492.74,1810.26,20.2481,31.6217,16.3893
2649231,2209.48,3522.11,1826.28,20.0162,31.9076,16.5447
2649865,2198.81,3570.31,1847.99,19.9147,32.3365,16.7374
2650091,2212.88,3510.4,1823.97,20.0405,31.7912,16.5184
