Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2321344,1892.68,3266.15,1723.09,19.5681,33.7682,17.8147
2321187,1925.25,3301.34,1743.85,19.9062,34.1344,18.0306
2320574,1940.4,3374.44,1777.04,20.0682,34.8993,18.3786
2320654,1971.49,3368.17,1786.46,20.389,34.8333,18.4754
2320363,1969.91,3408.99,1799.77,20.3752,35.2599,18.6154
2321160,1977.75,3390.02,1799.74,20.4493,35.0517,18.6087
2320163,1910.28,3310.05,1742.23,19.7601,34.2395,18.0218
2321565,1834.44,3166.18,1660.91,18.9642,32.7315,17.1703
2320229,1847.63,3171.01,1667.27,19.1116,32.8003,17.2459
2320123,1823.16,3145.14,1649.01,18.8593,32.5342,17.0579
2321025,1831.54,3176.67,1673.65,18.9386,32.8476,17.306
2321111,1823.37,3143.12,1655.98,18.8534,32.4995,17.1226
2320365,1809.74,3125.2,1641.95,18.7185,32.3246,16.983
2320418,1816.52,3135.18,1645.85,18.7882,32.4271,17.023
2319808,1806.09,3145.04,1659.65,18.6852,32.5376,17.1702
2320350,1819.2,3136.91,1648.51,18.8165,32.4459,17.051
2319717,1808.03,3114.55,1639.3,18.7061,32.2235,16.9604
2319577,1793.09,3140.26,1650.54,18.5526,32.4914,17.0777
2320160,1793.98,3128.26,1637.24,18.5571,32.3591,16.9358
2319947,1795.41,3121.25,1629.61,18.5736,32.2895,16.8584
2320367,1804.72,3162.07,1648.69,18.6666,32.7059,17.0527
2320278,1811.06,3136.46,1645.03,18.7329,32.4422,17.0155
2320765,1792.61,3122.87,1646.37,18.5381,32.2949,17.0258
2320856,1804.69,3178.74,1662.97,18.6623,32.8713,17.1968
2320813,1802.69,3124.79,1643.82,18.642,32.3141,16.999
2319945,1805.11,3121.86,1634.76,18.674,32.2959,16.9117
2321055,1807.14,3174.14,1658.45,18.686,32.8211,17.1486
2320373,1799.35,3133.89,1640.23,18.611,32.4144,16.9651
2320488,1773.16,3097.42,1620.45,18.3391,32.0356,16.7598
2320340,1785.01,3134.28,1639.98,18.4629,32.4188,16.9628
2320885,1780.47,3080.91,1627.38,18.4117,31.8593,16.8286
2319856,1779.16,3105,1630.56,18.4062,32.1227,16.869
2320457,1776.95,3078.84,1614.06,18.3786,31.8438,16.6939
2320617,1783.03,3128.77,1647.26,18.4403,32.358,17.0361
2320972,1781.23,3085.45,1619.66,18.4188,31.905,16.7481
2320683,1788.53,3128.2,1637.15,18.4966,32.3511,16.9311
2320342,1778.78,3094.56,1625.94,18.3984,32.008,16.8176
2320717,1785.6,3118.57,1631.25,18.4661,32.2511,16.8698
2320905,1777.61,3123.98,1638.79,18.3818,32.3045,16.9463
2320771,1770.03,3102.33,1619.36,18.3046,32.0824,16.7464
2320388,1789.98,3088.65,1619.45,18.514,31.9462,16.7502
2320199,1771.92,3090.52,1619.68,18.3286,31.9682,16.7539
2321100,1767.2,3101.22,1624.64,18.2727,32.0664,16.7986
2321044,1799.84,3147.67,1635.07,18.6106,32.5474,16.9069
2320024,1764.35,3085.5,1616.86,18.2517,31.9187,16.7259
2320838,1770.64,3088.47,1625.79,18.3103,31.9381,16.8125
2319979,1773.64,3060.76,1606.85,18.3481,31.6633,16.6227
2320524,1771.22,3055.07,1604.21,18.3188,31.597,16.5915
2320894,1782.35,3065.41,1613.67,18.431,31.699,16.6867
2319868,1770.28,3081.22,1617.34,18.3142,31.8765,16.7321
2320925,1772.48,3110.65,1619.74,18.3287,32.1663,16.7493
2319446,1781.51,3103.17,1623.32,18.4338,32.1094,16.797
2320501,1766.5,3087.04,1624.37,18.2702,31.928,16.8002
2320374,1774.94,3082.86,1617.43,18.3585,31.8865,16.7293
2319975,1771.3,3058.85,1606.9,18.3239,31.6436,16.6232
2321218,1773.47,3103.79,1628.95,18.3366,32.0913,16.8424
2321230,1781.32,3096.88,1617.72,18.4177,32.0198,16.7261
2320436,1763.47,3098.43,1618.85,18.2394,32.0467,16.7436
2320973,1780.03,3059.95,1609.45,18.4064,31.6414,16.6425
2320376,1783.4,3093.62,1627.07,18.446,31.9978,16.829
2320833,1772.11,3104.54,1613.08,18.3256,32.1044,16.681
2321147,1779.97,3111.5,1624.12,18.4043,32.1721,16.793
2320525,1759.55,3086.92,1621.39,18.1981,31.9264,16.7692
2320549,1782.29,3113.04,1630.83,18.4331,32.1963,16.8667
2320405,1768.97,3101.45,1624.56,18.2965,32.0784,16.8029
2320204,1763.26,3090.47,1614.57,18.239,31.9676,16.701
2320042,1769.6,3088.24,1615.7,18.3058,31.9467,16.7138
2320222,1775.07,3095.39,1624.34,18.3611,32.0182,16.8019
2320742,1776.44,3085.61,1614.55,18.3711,31.9099,16.6969
2320552,1770.52,3088.47,1614.62,18.3113,31.942,16.699
2320552,1770.64,3056.28,1608.11,18.3126,31.6092,16.6316
2320171,1778.8,3101.66,1619.06,18.4,32.0838,16.7476
2321249,1754.29,3093.61,1605.53,18.138,31.9856,16.6
2320161,1766.73,3055.28,1604.18,18.2753,31.6042,16.5938
2320416,1769.33,3074.74,1610.27,18.3002,31.802,16.655
2320309,1770.17,3097.23,1614.9,18.3096,32.0361,16.7036
2320923,1768.5,3052.42,1616.89,18.2876,31.5642,16.7198
2320972,1767.63,3073.91,1608.77,18.2782,31.7858,16.6354
2320669,1777.35,3089.28,1618.66,18.3811,31.9489,16.74
2319816,1775.86,3071.34,1619.32,18.3724,31.775,16.7529
2320999,1774.23,3074.54,1612.3,18.3462,31.7919,16.6718
2320579,1768.19,3081.96,1613.03,18.2871,31.8744,16.6823
2319970,1769.02,3071.22,1611.23,18.3004,31.7716,16.6681
2320571,1781.98,3092.94,1627.7,18.4298,31.9881,16.8341
2320675,1755.88,3059.5,1610.94,18.159,31.6407,16.6601
2319967,1771.22,3067.55,1615.59,18.3232,31.7337,16.7132
2319553,1788.38,3081.71,1619.76,18.504,31.8859,16.7594
2320416,1770.39,3080.44,1613.98,18.311,31.8609,16.6933
2320617,1774.64,3088.16,1619.94,18.3534,31.938,16.7535
2321014,1777.19,3063.63,1604.44,18.3767,31.6789,16.5904
2320697,1767.63,3082.13,1620.29,18.2803,31.8745,16.7566
2320092,1782.39,3070.8,1610.38,18.4378,31.7657,16.6585
2319853,1754.83,3050.35,1605.11,18.1546,31.5574,16.6057
2320292,1766.42,3069.84,1622.57,18.271,31.753,16.7831
2320329,1758.33,3081.14,1615.33,18.187,31.8693,16.7079
2320082,1775.11,3085.89,1619.19,18.3625,31.9219,16.7496
2320777,1775.35,3039.34,1600.67,18.3596,31.4309,16.5531
2320853,1785.64,3129.18,1633.06,18.4653,32.3589,16.8875
2320760,1766.33,3077.16,1613.84,18.2664,31.8222,16.6894
2320053,1769.01,3086.75,1608.28,18.2997,31.9312,16.637
2320535,1778.27,3112.37,1628.89,18.3916,32.1895,16.8467
2320277,1752.71,3080.68,1610.19,18.1294,31.8653,16.6551
2320556,1768.94,3094.29,1617.01,18.295,32.0022,16.7237
2319855,1764.31,3083.16,1615.52,18.2526,31.8968,16.7133
2319880,1767.11,3077.32,1611.35,18.2814,31.836,16.67
2320939,1767.34,3095.64,1621.44,18.2754,32.0109,16.7667
2321115,1770.6,3093.72,1620.51,18.3078,31.9886,16.7559
2320162,1771.83,3104.31,1615.77,18.328,32.1113,16.7137
2320499,1776.37,3105.12,1626.54,18.3723,32.115,16.8227
2320662,1755.98,3062.48,1603.53,18.1602,31.6718,16.5835
2320513,1772.65,3106.11,1620.87,18.3337,32.125,16.7639
2320359,1770.18,3067.94,1607.03,18.3094,31.7324,16.6218
2319859,1756.86,3081.83,1604.94,18.1755,31.8829,16.6038
