Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2460954,1898.21,3290.69,1784,18.5119,32.0918,17.3981
2460378,1946,3416.65,1858.16,18.9824,33.3281,18.1256
2460760,1996.62,3473.84,1887.66,19.4732,33.8807,18.4105
2460659,2015.68,3531.84,1917.27,19.6599,34.4478,18.7001
2460458,2006.2,3511.38,1911.87,19.569,34.251,18.6489
2460355,1937.82,3426.87,1848.91,18.9029,33.4281,18.0355
2460228,1954.2,3403.2,1847.02,19.0636,33.1988,18.018
2460135,1919.39,3403.78,1840.86,18.7247,33.2058,17.9586
2460393,1912.73,3384.44,1825.98,18.6578,33.0136,17.8116
2460372,1929.31,3446.86,1855.47,18.8197,33.6228,18.0995
2460341,1933.12,3440.99,1857.98,18.8571,33.566,18.1242
2460554,1944.12,3449.37,1854.47,18.9627,33.6448,18.0883
2460124,1930.5,3461.25,1862.51,18.8332,33.7666,18.1699
2460603,1931.05,3408.53,1837.29,18.8349,33.2458,17.9204
2460330,1923.99,3388.91,1834.93,18.7681,33.0581,17.8994
2460759,1916.99,3403.1,1835.49,18.6965,33.1908,17.9017
2460048,1950,3440.87,1854.14,19.024,33.5688,18.0888
2460285,1940.58,3425.66,1853.49,18.9303,33.4172,18.0807
2460229,1930.09,3446.62,1851.56,18.8284,33.6224,18.0623
2460535,1929.7,3430.72,1850.07,18.8222,33.4631,18.0455
2460335,1930.57,3424.26,1853.67,18.8322,33.4029,18.0821
2460100,1938.2,3405.57,1835.83,18.9085,33.2238,17.9098
2460183,1937.76,3428.63,1853.78,18.9036,33.4475,18.0843
2460776,1942.37,3483.01,1862.76,18.9439,33.9698,18.1676
2460670,1931.12,3448.61,1861.6,18.8351,33.6358,18.157
2460917,1932.79,3436.59,1842.64,18.8495,33.5152,17.9703
2460740,1924.76,3411.01,1840.33,18.7725,33.2681,17.949
2460149,1912.4,3395.94,1816.49,18.6564,33.1292,17.7207
2460517,1915.74,3419.9,1847.73,18.6862,33.3579,18.0228
2460332,1942.11,3399.28,1839.36,18.9449,33.1592,17.9425
2460141,1909.23,3390.58,1818.12,18.6256,33.077,17.7367
2460510,1935.57,3395.44,1826.6,18.8796,33.1194,17.8168
2460354,1923.67,3462.71,1859.42,18.7648,33.7776,18.138
2460244,1920.14,3406.74,1843.79,18.7312,33.2332,17.9864
2460552,1913.01,3397.81,1828,18.6593,33.1419,17.8301
2460487,1931.6,3405.28,1830.04,18.8412,33.2156,17.8505
2460517,1926.2,3389.8,1833.92,18.7882,33.0643,17.8881
2459910,1944.15,3458.17,1863.77,18.968,33.7395,18.1838
2460134,1918,3369.65,1828.46,18.7111,32.8728,17.8377
2459981,1908.35,3419.52,1851.33,18.6182,33.3615,18.0619
2460830,1903.36,3399.38,1829.33,18.5632,33.1535,17.8411
2460410,1903.39,3406.09,1832.16,18.5666,33.2246,17.8718
2460649,1910.85,3402.13,1824.05,18.6376,33.1827,17.7909
