Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2736844,2640.57,3894.38,2236.78,23.1558,34.1507,19.6148
2737032,2735.67,4012.66,2314.74,23.9881,35.1855,20.2971
2736675,2808.37,4171.74,2399.65,24.6287,36.5852,21.0444
2736757,2841.02,4215.73,2440.34,24.9143,36.9699,21.4005
2736542,2837.92,4193.39,2406.86,24.8891,36.7768,21.1086
2736934,2705.84,3999.72,2294.73,23.7273,35.0733,20.1223
2737121,2713.29,4010.3,2294.66,23.791,35.1637,20.1204
2736780,2675.81,4013.18,2284.97,23.4653,35.1933,20.0379
2736510,2653.57,3995.58,2281.16,23.2726,35.0424,20.0064
2736685,2659.82,3970.66,2276.14,23.3259,34.8217,19.9611
2737002,2661.94,3986.8,2273.3,23.3418,34.9591,19.9339
2736807,2678.82,3951.6,2265.59,23.4915,34.653,19.8678
2736838,2703.15,4016.98,2292.42,23.7046,35.2259,20.1028
2736802,2647.49,3971.96,2260.17,23.2168,34.8315,19.8202
2736414,2665.36,4050.18,2296.04,23.3768,35.5225,20.1377
2736461,2665.37,3969.11,2258.69,23.3765,34.8109,19.8097
2736953,2671.47,4012.96,2293.46,23.4258,35.1892,20.111
2736619,2672.25,4040.8,2296.09,23.4355,35.4376,20.1366
2736363,2692.93,4032.57,2293.3,23.619,35.3687,20.114
2736391,3058.17,4440.84,2582.5,26.8222,38.9492,22.6503
2736572,3072.54,4499.53,2612.22,26.9465,39.4614,22.9094
2736746,3065.18,4435.45,2579.66,26.8802,38.8969,22.6225
2736876,3099.64,4511.62,2628.71,27.1811,39.563,23.0515
2736513,3101.37,4487.95,2613.71,27.1999,39.3606,22.923
2736905,3090.45,4503.27,2625.1,27.1002,39.4893,23.0196
2736855,3083.3,4497.87,2612.12,27.038,39.4427,22.9062
2736859,3104.02,4546.22,2641.85,27.2197,39.8666,23.1668
2736943,3135.24,4597.3,2665.05,27.4926,40.3133,23.3696
2736813,3099,4516.61,2623.37,27.1761,39.6076,23.0052
2736901,3125.4,4581.98,2658.71,27.4067,40.1796,23.3144
2737056,3156.78,4594.97,2682.62,27.6804,40.2912,23.5226
2736919,3075.03,4492.51,2614.18,26.9649,39.3948,22.9237
2736824,3117.13,4551.38,2650.83,27.335,39.9124,23.2459
2736651,3118.77,4572.03,2656.06,27.3512,40.096,23.2933
2736586,3104.08,4539.2,2636.71,27.223,39.809,23.1241
2737000,3135.3,4567.45,2664.81,27.4926,40.0507,23.367
2736583,3125.83,4570.8,2658.93,27.4137,40.0862,23.319
2737105,3079.47,4510.45,2626.33,27.002,39.5494,23.0286
2736393,3147.25,4590.58,2678.41,27.6035,40.2625,23.4915
2736598,3140.68,4595.53,2677,27.5438,40.3029,23.4773
2736871,3122,4591.15,2666.46,27.3772,40.2605,23.3826
2736727,3123.99,4573.42,2658.08,27.3962,40.1071,23.3103
2737000,3150.97,4587.76,2674.21,27.63,40.2288,23.4494
2736978,3119.94,4572.29,2657.9,27.3581,40.0935,23.3065
2736967,3118.97,4557.81,2654.63,27.3498,39.9666,23.278
2736719,3133.98,4603.47,2673.83,27.4839,40.3707,23.4485
2736402,3151.73,4576.49,2670.62,27.6427,40.1388,23.4231
2736585,3125.38,4592.85,2675.87,27.4097,40.2796,23.4676
2736732,3160.88,4597.07,2675.97,27.7196,40.3144,23.4672
2736550,3137.05,4586.35,2675.9,27.5124,40.2231,23.4681
2736748,3135.82,4565.71,2663.11,27.4997,40.0392,23.3542
2736545,3122.98,4556.2,2657.44,27.3891,39.9587,23.3063
2736620,3174.69,4621.24,2690.18,27.8419,40.528,23.5927
2736813,3079.3,4519.98,2623.68,27.0034,39.6372,23.0079
2736489,3143.95,4572.54,2665.21,27.5736,40.1028,23.3748
2736565,3137.34,4582.23,2673.69,27.5148,40.1867,23.4486
2736985,3139.62,4562.87,2665.61,27.5306,40.0108,23.3741
2736639,3169.12,4650.92,2697.65,27.7928,40.788,23.658
2736563,3138.21,4584.44,2654.09,27.5225,40.2061,23.2767
2736840,3119.01,4574.11,2657.39,27.3514,40.1114,23.3033
2736823,3131.25,4591.97,2663.89,27.4588,40.2684,23.3605
2736629,3157.03,4650.54,2694.66,27.6869,40.7849,23.6319
2736786,3170.53,4646.2,2700.39,27.8037,40.7444,23.6808
