Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5171182,5069.17,7117.06,3811.29,23.5266,33.031,17.6886
5172018,5270.42,7533.38,4034.39,24.4566,34.9575,18.721
5171821,5073.4,7174.3,3828.14,23.5433,33.2926,17.7646
5172748,4938.42,7034.67,3745.84,22.9128,32.6388,17.3796
5175141,4940.22,7171.25,3788.59,22.9105,33.2571,17.5698
5173065,4901.9,7130.94,3763.76,22.7419,33.0834,17.4616
5170391,4906.07,6982.35,3691.54,22.7731,32.4108,17.1354
5175329,4887.93,7032.77,3721.48,22.6672,32.6137,17.2579
5173307,4893.74,7069.99,3732.15,22.703,32.7991,17.3142
5171395,4885.48,6998.17,3691.84,22.6731,32.4779,17.1335
5171052,4891.38,7006.37,3692.25,22.702,32.5181,17.1365
5171354,4910.97,7036.1,3728.79,22.7916,32.6542,17.3051
5172968,4879.74,6950.29,3684.24,22.6396,32.2459,17.093
5170739,4859.75,7034.43,3720.64,22.5566,32.6503,17.2694
5171985,4888.93,6963.34,3679.24,22.6865,32.3126,17.0731
5172037,4901.62,6987.54,3703.06,22.7452,32.4246,17.1834
5171335,4877.77,7039.22,3706.57,22.6376,32.6688,17.2021
5173282,4910.96,6985.13,3707.84,22.783,32.4056,17.2015
5171761,4926.13,7025.9,3720.42,22.8601,32.6043,17.2649
5168901,4857.99,7033.98,3728.86,22.5564,32.6599,17.3137
5172011,4877.36,7013,3707.71,22.6327,32.5429,17.2051
5169057,4857.72,6957.43,3682.73,22.5545,32.3035,17.099
5168658,4920.11,6945.4,3693.61,22.8459,32.2501,17.1508
5172460,4871.34,7153.5,3756.68,22.6028,33.1919,17.4309
5172640,4857.05,6977.6,3699.74,22.5357,32.3746,17.166
5172987,4883.75,6960.07,3692.96,22.6581,32.2911,17.1335
5169687,4867.54,7007.12,3684.18,22.5973,32.5302,17.1036
5171789,4842.18,6923.36,3676.46,22.4704,32.1283,17.0608
5173607,4891.37,6936.08,3682.61,22.6907,32.176,17.0834
5173402,4897.07,6969.94,3684.15,22.7181,32.3344,17.0912
5172716,4863.96,6884.57,3647.57,22.5675,31.9425,16.9237
5174177,4906.8,7051.32,3722.94,22.7598,32.707,17.2686
5175217,4866.48,6940.06,3673.53,22.5682,32.1844,17.0359
5171767,4862.23,6948.74,3664.5,22.5636,32.2462,17.0054
5170952,4848.05,6959.08,3663.67,22.5013,32.2993,17.0042
5167394,4870.03,6905.45,3663.47,22.6189,32.0724,17.015
5175052,4889.84,7001.04,3711.53,22.6773,32.4683,17.2127
5173108,4879.5,7013.95,3711.98,22.6378,32.5404,17.2213
5172380,4862.2,6947.98,3682.17,22.5607,32.2388,17.0854
5172587,4882.3,6937.51,3699.33,22.6531,32.189,17.1643
5173427,4892.12,6967.31,3702.34,22.695,32.322,17.1755
5175390,4876.27,6956.04,3676.22,22.6129,32.2575,17.0479
5171413,4847.88,6997.7,3684.43,22.4985,32.4756,17.0991
5169447,4832.63,6897.09,3659.84,22.4363,32.0209,16.9914
5171495,4846.34,6972.84,3691.73,22.491,32.3597,17.1327
5170495,4841.53,7034.36,3709.9,22.473,32.6515,17.2203
5171183,4868.48,6953.37,3686.05,22.5951,32.2713,17.1073
5171960,4882.54,6985.07,3695.44,22.657,32.4136,17.1483
5174721,4857.61,6989.86,3698.72,22.5293,32.4185,17.1544
5175040,4865.59,6964.59,3695.12,22.5649,32.2993,17.1367
5171294,4879.1,6957.17,3677.36,22.6439,32.2883,17.0667
5172089,4874.11,6981.71,3687.44,22.6173,32.3972,17.1108
5171736,4898.66,7008.04,3688.53,22.7327,32.5216,17.117
5171105,4849.53,6855.19,3638.87,22.5075,31.8161,16.8886
5172929,4812.08,6982.5,3701.5,22.3258,32.3956,17.1732
5172231,4884.71,7003.32,3707.3,22.6658,32.4965,17.2025
5172319,4854.52,6975.83,3678.93,22.5254,32.3685,17.0705
5170445,4863.88,6998.94,3688.4,22.577,32.4874,17.1207
5170825,4935.36,6977.69,3713.41,22.9071,32.3864,17.2355
5174720,4862.06,6954.23,3699.78,22.5499,32.2533,17.1593
