Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4677827,3979.22,5657.18,2927.94,20.4158,29.0246,15.022
4678098,4069.02,5803.34,3009.01,20.8753,29.7728,15.4371
4675236,4156.67,5955.76,3093.15,21.338,30.5735,15.8785
4677078,4309.85,6144.66,3201.94,22.1156,31.5308,16.4304
4677754,4225.22,5965.15,3112.28,21.6782,30.6052,15.9681
4678158,4238.08,6019.6,3141.24,21.7423,30.8819,16.1153
4677940,4280.1,6242.2,3235.05,21.9589,32.0254,16.5973
4673817,4271.18,6069.75,3165.97,21.9325,31.1681,16.2572
4673782,4280.33,6059,3150.41,21.9796,31.1132,16.1775
4673641,4294.43,6127.12,3195.2,22.0527,31.4639,16.4079
4675423,4310.2,6163.08,3217.24,22.1252,31.6365,16.5148
4674633,4323.98,6084.99,3176.07,22.1997,31.2409,16.3062
4675182,4303.93,6184.61,3210.06,22.0942,31.7486,16.4788
4676211,4311.08,6217.61,3246.68,22.126,31.911,16.6631
4677068,4354.25,6161.8,3223.1,22.3435,31.6188,16.5391
4678815,4348.53,6230.6,3226.92,22.3058,31.9599,16.5525
4671160,4319,6170.27,3200.58,22.1907,31.7023,16.4443
4676053,4317.21,6178.52,3217.78,22.1582,31.7115,16.5154
4675337,4343.65,6204.51,3221.16,22.2973,31.8498,16.5352
4674166,4336.23,6167.48,3197.12,22.2649,31.6676,16.4159
4673822,4329.29,6235.84,3248.54,22.2309,32.0209,16.6812
4674527,4308.85,6244.02,3243.9,22.1225,32.0581,16.6549
4671058,4347.38,6212.94,3239.71,22.337,31.9222,16.6457
4673824,4339.02,6182.04,3213.41,22.2808,31.7446,16.5008
4674395,4317.78,6244.46,3239.37,22.169,32.0612,16.6321
4672739,4303.17,6124.88,3204.56,22.1018,31.4585,16.4592
4677552,4341.58,6227.7,3241.81,22.2762,31.9536,16.6334
4676798,4371.65,6242.44,3251.18,22.4341,32.0345,16.6841
4677382,4362.87,6219.61,3246.04,22.3862,31.9133,16.6557
4674194,4382.63,6222.46,3248.49,22.5029,31.9497,16.6796
4675002,4351.64,6224.88,3246.65,22.34,31.9566,16.6673
4677026,4371.35,6265.45,3270.32,22.4314,32.1509,16.7815
4672191,4361.36,6286.42,3299.44,22.4033,32.2919,16.9485
4673886,4354.52,6234.89,3261.37,22.3601,32.0156,16.7469
4671069,4398.64,6209.5,3252.02,22.6002,31.9045,16.7089
4677604,4361.38,6274.47,3263.87,22.3775,32.1933,16.7464
4675199,4368.11,6242.76,3263.49,22.4236,32.047,16.753
4676515,4349.95,6264,3246.07,22.3241,32.147,16.6589
4673071,4335.7,6261.41,3254.4,22.2673,32.1574,16.714
4670923,4336.25,6258.25,3259.11,22.2804,32.156,16.7458
4676356,4333.08,6222.51,3213.43,22.2382,31.9352,16.492
4677691,4337.7,6307.15,3277.47,22.2556,32.3603,16.8158
4676652,4383.31,6288.03,3269.11,22.4946,32.2694,16.7767
4675508,4379.19,6270.28,3281.2,22.4789,32.1862,16.8428
4676364,4390.55,6288.87,3286.29,22.5332,32.2757,16.8659
4675543,4356.13,6284.73,3278.5,22.3604,32.2601,16.8288
4678591,4369.41,6260.63,3273.62,22.414,32.1154,16.7928
4675645,4368.05,6255.48,3268.5,22.4211,32.1093,16.7771
4675989,4367.68,6230.78,3228.72,22.4176,31.9801,16.5718
4675890,4378.76,6311.77,3274.4,22.4749,32.3965,16.8066
4675720,4363.44,6356.76,3290.22,22.3971,32.6286,16.8884
4677726,4364.64,6342.66,3286.51,22.3936,32.5423,16.8621
4674820,4359.5,6285.31,3264.63,22.3812,32.2681,16.7603
4679467,4334.8,6255.44,3241.87,22.2323,32.0828,16.6268
4673046,4338.87,6288.34,3261.16,22.2837,32.2959,16.7488
4675156,4332.43,6158.55,3213.3,22.2406,31.615,16.4955
4676656,4330.58,6311.45,3282.39,22.224,32.3895,16.8448
4674745,4313.07,6208.48,3247.7,22.1431,31.8742,16.6736
4675803,4338.13,6273.91,3251.66,22.2668,32.2028,16.6902
4677925,4317.73,6189.63,3213.88,22.152,31.7558,16.4888
4676919,4306.95,6160.78,3201.49,22.1015,31.6145,16.4287
4674532,4342.21,6229.44,3252.18,22.2938,31.9832,16.6974
4678856,4375.52,6208.54,3245.91,22.444,31.8465,16.6498
4677624,4372.19,6281.5,3274.98,22.4329,32.2292,16.8033
4676158,4389.76,6322.11,3297.38,22.5301,32.4477,16.9235
4674576,4371.8,6288.86,3274.02,22.4455,32.288,16.8093
4678821,4369.43,6302.56,3278.09,22.413,32.329,16.8149
4674891,4395.22,6266.02,3258.34,22.5642,32.1686,16.7277
4678224,4376.59,6374.29,3328.37,22.4526,32.7011,17.075
4675333,4376.89,6295.58,3279.64,22.468,32.3173,16.8354
4675623,4361.09,6281.11,3275.16,22.3855,32.241,16.8114
4677174,4347.27,6259.37,3278.34,22.3072,32.1187,16.8222
4675844,4351.53,6297.92,3275.36,22.3354,32.3257,16.8116
4675872,4367.59,6210.39,3233.8,22.4177,31.8763,16.5982
4676119,4352.01,6295.96,3266.06,22.3365,32.3138,16.7629
4674271,4365.25,6221.16,3250.38,22.4133,31.9425,16.689
4675649,4368.83,6301.32,3285.18,22.4251,32.3446,16.8627
4680051,4383.44,6346.77,3294.36,22.4789,32.5472,16.894
4675771,4340.57,6279.57,3262.57,22.2795,32.2321,16.7463
4674510,4334.61,6270.62,3254.54,22.2549,32.1948,16.7096
4674871,4361.72,6296.33,3253.62,22.3923,32.3243,16.7035
4676380,4354.97,6248.11,3251.69,22.3505,32.0664,16.6883
4673715,4323.54,6264.86,3270.42,22.2018,32.1707,16.7939
4674191,4347.27,6303.32,3262.71,22.3214,32.3649,16.7527
4680522,4352.15,6262.12,3263.54,22.3162,32.1098,16.7342
4674946,4344.58,6237.51,3241.82,22.304,32.0218,16.6427
4673795,4283.34,6218.09,3241.12,21.995,31.93,16.6432
4680007,4331.05,6214.33,3239.1,22.2105,31.8683,16.6107
4675156,4302.03,6238.84,3243.09,22.0845,32.0272,16.6485
4672837,4358.93,6265.98,3258.84,22.3877,32.1825,16.7376
4679018,4318.79,6324.97,3304.21,22.1523,32.4426,16.9482
4676564,4285.72,6155.1,3208.54,21.9942,31.5878,16.4662
4673445,4337.05,6181.02,3227.99,22.2725,31.742,16.577
4676862,4327.07,6287.9,3280.95,22.205,32.2673,16.8367
4675430,4356.22,6338.14,3298.24,22.3614,32.5351,16.9306
4676075,4320.71,6171.4,3227.07,22.1761,31.6748,16.563
4673097,4323.32,6275.64,3269.84,22.2036,32.2303,16.7932
4678750,4369.17,6226.75,3252.63,22.412,31.9406,16.6846
4675685,4382.54,6179.5,3235.64,22.4953,31.719,16.6083
4678361,4391.73,6305.98,3291.56,22.5296,32.3497,16.8857
4673553,4329.1,6215.79,3255.97,22.2312,31.9198,16.7203
4675267,4357,6247.3,3262.93,22.3662,32.0699,16.7499
4675991,4357.75,6342.14,3292.56,22.3666,32.5517,16.8994
4672083,4343.77,6238.04,3231.72,22.3135,32.0441,16.601
4677469,4344.56,6157.85,3217.56,22.2919,31.5958,16.5092
4676623,4339.05,6287.35,3269.14,22.2676,32.2661,16.7769
4675796,4344.97,6236.74,3257.43,22.3019,32.012,16.7198
4679884,4308.98,6237.91,3258.72,22.0979,31.9901,16.7118
4675849,4384.21,6310.46,3279.3,22.5031,32.3901,16.8319
4676511,4312.11,6300.26,3264.62,22.1299,32.3331,16.7541
4676433,4320.94,6315.16,3283.01,22.1756,32.4101,16.8488
4675249,4324.43,6315.19,3280.96,22.1991,32.4185,16.8425
4678050,4312.55,6280.82,3261.13,22.1249,32.2228,16.7307
4672084,4333.83,6270.61,3264.23,22.2624,32.2114,16.768
4672721,4382.27,6275.61,3262.9,22.5082,32.2328,16.7589
4674240,4296.41,6191.35,3219.25,22.06,31.7897,16.5293
4675166,4300.69,6204.63,3237.24,22.0776,31.8515,16.6184
4678784,4324.51,6261.59,3256.97,22.1827,32.1191,16.7067
4676131,4322.76,6239.46,3239.44,22.1863,32.0237,16.6262
4675553,4281.9,6225.76,3244.79,21.9794,31.9573,16.6558
4675674,4346.9,6290.99,3276.44,22.3124,32.2914,16.8178
4678161,4387.02,6322.68,3304.62,22.5064,32.4367,16.9534
4675232,4481.85,6291.64,3287.01,23.0073,32.2977,16.8737
4676473,4450.5,6311.2,3278.91,22.8403,32.3896,16.8276
4676737,4379.6,6236.28,3251.75,22.4751,32.0033,16.6873
4674947,4379.22,6186.66,3234.61,22.4818,31.7608,16.6057
4675279,4388.44,6267.95,3278.8,22.5276,32.1758,16.8313
4676259,4390.23,6293.69,3282.88,22.532,32.3011,16.8488
4676869,4371.41,6228.17,3248.39,22.4325,31.9607,16.6696
4680728,4410.07,6333.57,3300.87,22.6122,32.4748,16.9249
4675048,4359.01,6232.52,3239.32,22.3776,31.9955,16.6295
4675695,4349.52,6326.4,3287.42,22.3258,32.473,16.8741
4674673,4378.53,6404.48,3349.02,22.4796,32.8809,17.194
4672679,4338.07,6287.48,3273.23,22.2813,32.294,16.8121
4675802,4344.11,6306.87,3299.36,22.2975,32.3719,16.935
4674083,4320.58,6202.45,3249.14,22.1849,31.8477,16.6833
4675488,4358.74,6244.42,3262.73,22.3741,32.0536,16.7481
4679592,4319.11,6152.64,3213.06,22.1512,31.5547,16.4787
4677962,4367.93,6313.43,3304.48,22.4094,32.3907,16.9534
4675224,4331.29,6269.82,3275.4,22.2344,32.1858,16.8141
4673295,4316.11,6191.22,3236.86,22.1657,31.7954,16.6231
4679474,4308.5,6236.47,3262.49,22.0974,31.9855,16.7326
4676143,4316.73,6181.76,3225.2,22.1553,31.7275,16.5531
4679931,4331.1,6257.92,3265.49,22.2111,32.0924,16.7463
4673378,4338.07,6248.6,3255.5,22.2781,32.0895,16.7185
4678919,4370.77,6302.14,3264.72,22.4194,32.3261,16.746
4675594,4324.69,6217.54,3256.81,22.1988,31.9149,16.7173
4674110,4351.24,6209.69,3237.66,22.3422,31.8847,16.6243
4672406,4354.16,6227.35,3253.9,22.3653,31.987,16.7138
4677806,4331.93,6233.68,3278.81,22.2255,31.9826,16.8223
