Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4437736,3909.7,6058.81,3213.35,21.1443,32.7671,17.3783
4438024,4059.14,6332.68,3354.87,21.9511,34.246,18.1425
4440120,4078.12,6351.76,3367.08,22.0433,34.3329,18.1999
4437157,3856.63,6059.24,3191,20.86,32.7737,17.2597
4438538,3879.57,6142.4,3214.84,20.9775,33.2131,17.3832
4437612,3886.33,6168.84,3219.29,21.0185,33.363,17.4109
4437526,3854.79,6048.72,3168.77,20.8483,32.714,17.138
4436135,3848.78,6109.48,3195.47,20.8224,33.053,17.2879
4434470,3839.49,6105.59,3196.99,20.7799,33.0443,17.3026
4438351,3841.52,6009.68,3158.65,20.7727,32.4968,17.0801
4437076,3855.63,6106.15,3200.2,20.855,33.028,17.3098
4439190,3868.4,6098.35,3186.36,20.9141,32.9701,17.2267
4437382,3861.63,6133.41,3216.14,20.886,33.1731,17.3948
4435732,3868.69,6061.13,3172.35,20.9319,32.7944,17.1643
4438329,3814.65,6071.44,3168.06,20.6275,32.831,17.1311
4437476,3849.45,6096.8,3182.18,20.8197,32.9744,17.2108
4437524,3841.34,6098.57,3191.06,20.7756,32.9837,17.2586
4437838,3876.43,6104.99,3188.61,20.9639,33.016,17.2441
4436607,3840.91,6039.72,3154.21,20.7775,32.6721,17.0628
4436153,3841.58,6000.4,3156.21,20.7833,32.4627,17.0754
4438589,3835.68,6015.94,3165.87,20.74,32.5289,17.1183
4436312,3873.15,6051.49,3181.43,20.9533,32.7379,17.2112
4438164,3867.55,6071.06,3188.8,20.9143,32.8301,17.2439
4435010,3830.97,6092.06,3195.38,20.7312,32.9671,17.2917
4436102,3819.46,6017.22,3169.05,20.6639,32.5541,17.145
4440365,3874,6133.58,3192.96,20.9388,33.1517,17.2578
4437438,3848.24,5993.03,3154.6,20.8133,32.4134,17.0618
4437386,3834.44,5993.54,3159.5,20.7389,32.4166,17.0885
4438527,3842.35,6036.4,3164.04,20.7763,32.64,17.1086
4435527,3828.65,6060.98,3172.11,20.7163,32.7951,17.1638
4439252,3842.74,5971.56,3145.83,20.7751,32.2841,17.0074
4437000,3821.15,6066.56,3171.45,20.6689,32.8144,17.1545
4436750,3834.78,6081.07,3186.45,20.7437,32.8947,17.2367
4437926,3837.17,6032.02,3166.37,20.7512,32.6207,17.1235
4437459,3849.08,6037.19,3165.26,20.8178,32.6521,17.1193
4438638,3835.73,5994.02,3144.86,20.74,32.4101,17.0045
4436816,3836.49,6022.63,3173.17,20.7527,32.5781,17.1646
4435575,3835.05,5976.55,3143.27,20.7507,32.3379,17.0076
4439812,3849.92,6063.17,3172.61,20.8113,32.7753,17.15
4437429,3826.54,6033.46,3175.07,20.696,32.6322,17.1725
4437369,3833.92,6049.66,3191.78,20.7362,32.7202,17.2631
4437384,3849.05,6054.93,3181.3,20.8179,32.7486,17.2063
4437906,3875.52,6024.5,3174.85,20.9586,32.5802,17.1694
4438716,3830.83,5985.26,3136.42,20.7132,32.3621,16.9585
4438619,3824.62,6012.1,3155.68,20.6801,32.508,17.063
4436673,3809.63,6030.81,3182.43,20.6081,32.6234,17.2152
4440300,3856.44,6028.95,3161.8,20.8442,32.5867,17.0896
4436399,3833.31,6007.03,3170.54,20.7374,32.4968,17.1519
4432190,3840.73,5989.79,3150.87,20.7973,32.4343,17.0617
4435099,3830.51,6002.61,3153.56,20.7283,32.4824,17.0651
4437591,3844.93,5955.46,3133.55,20.7947,32.2092,16.9473
4437178,3819.77,5991.02,3128.11,20.6606,32.4045,16.9195
4438232,3837.87,6076.38,3174.59,20.7535,32.8584,17.1668
4436095,3807.48,6056.85,3180.92,20.5991,32.7685,17.2093
4437952,3826.62,6111.68,3201.75,20.694,33.0514,17.3148
4434607,3829.04,6053.35,3188.5,20.7227,32.7606,17.2561
4434374,3832.2,6001.63,3146.04,20.7409,32.4824,17.0272
4437127,3855.67,6007.51,3141.29,20.8549,32.494,16.9909
4438992,3826.62,6030.91,3170.55,20.6891,32.6069,17.142
4435917,3807.92,5966.91,3140.49,20.6023,32.2832,16.9912
4436035,3837.66,6060.37,3191.78,20.7626,32.788,17.2683
4437817,3821.61,5944.15,3119.92,20.6675,32.1463,16.8728
4438178,3844.38,6049.94,3164.96,20.7889,32.7158,17.1149
4436102,3847.27,5975.75,3142.61,20.8143,32.3298,17.002
4440447,3829.64,5987.67,3160.59,20.6987,32.3625,17.0826
4436422,3844.59,6012.4,3158.75,20.7983,32.5257,17.0881
4436898,3843.74,6024.81,3166.38,20.7915,32.5893,17.1276
4434368,3840.46,6000.74,3166.9,20.7856,32.4776,17.1401
4434343,3838.6,6031.17,3170.66,20.7756,32.6425,17.1606
4437533,3858.24,6061.44,3182.83,20.8669,32.7827,17.2141
4435367,3820.65,5983.93,3155.38,20.6737,32.3793,17.0739
4436159,3818.26,5959.64,3144.88,20.6571,32.2421,17.014
4437089,3854.97,6012.09,3166.27,20.8514,32.5191,17.1262
4438606,3836.39,6000.28,3164.52,20.7438,32.4442,17.1109
4435992,3837.88,6015.21,3173.67,20.764,32.544,17.1705
4438957,3842.41,6087.95,3202.75,20.7747,32.9156,17.3162
4438549,3858.65,6077.34,3196.82,20.8644,32.8612,17.2858
4434469,3838.93,5988.51,3169.44,20.7769,32.4107,17.1535
4439558,3827.6,6009.02,3168.3,20.6918,32.4844,17.1276
4438625,3846.96,5976.26,3148.08,20.8008,32.3141,17.0219
4436010,3840.07,6030.88,3155.66,20.7758,32.6287,17.073
4435300,3849.67,6051.66,3189.49,20.8311,32.7464,17.2588
4436853,3823.31,6030.67,3174.27,20.6812,32.6214,17.1704
4439857,3853.22,5971.06,3144.34,20.8289,32.277,16.997
4439030,3817.85,6026.81,3165.95,20.6415,32.5845,17.117
4437991,3819.44,6007.73,3159.3,20.655,32.4889,17.085
4437916,3824.43,5956.08,3149.24,20.6823,32.2101,17.0309
4434239,3843.38,6086.68,3200.29,20.802,32.9437,17.3214
4435078,3822.25,6052.13,3167.58,20.6838,32.7505,17.141
4435534,3815.66,5941.16,3123.27,20.6459,32.1467,16.8995
4435646,3813.3,6032.84,3157.93,20.6327,32.642,17.0866
4437374,3828.43,6046.02,3150.86,20.7065,32.7006,17.0418
4437772,3822.55,6001.9,3139.21,20.6728,32.459,16.9772
4436652,3839.22,5998.13,3147.86,20.7682,32.4468,17.0283
4437953,3838.63,6025.96,3137.85,20.7589,32.5878,16.9692
4436494,3803.78,6087.21,3197,20.5772,32.9298,17.2947
4436514,3827.53,6053.33,3167.43,20.7056,32.7464,17.1347
4436836,3831.97,6005.87,3138.67,20.7281,32.4873,16.9779
4437884,3830.94,6111.01,3205.65,20.7177,33.0482,17.3361
4436833,3828.8,5958,3129.81,20.711,32.2284,16.93
4439143,3838.94,6030.49,3152.41,20.755,32.6035,17.0434
4437155,3841.98,6012.2,3168.51,20.7808,32.5192,17.1381
4436111,3852.12,6060.87,3174.28,20.8405,32.7902,17.1733
4438021,3841.46,6067.3,3182.96,20.7739,32.8109,17.2128
4437838,3858.31,6020.67,3166.08,20.8659,32.56,17.1223
4435432,3818.32,6030.43,3166.32,20.6608,32.6305,17.1329
4435836,3822.02,6009.15,3143.03,20.679,32.5124,17.0053
4438190,3833.59,5966.41,3137.83,20.7305,32.264,16.9682
4436727,3821.17,6045.34,3182.26,20.6702,32.7016,17.2141
4433674,3845.62,6017.56,3149.49,20.8168,32.5738,17.0485
4436898,3838.58,6013.98,3166.32,20.7636,32.5307,17.1272
4440181,3821.64,6022.92,3150.13,20.6567,32.555,17.0271
4435785,3827.33,5952.63,3132.08,20.7079,32.207,16.9463
4437788,3868.79,6022.86,3177.83,20.9228,32.5722,17.186
4437259,3835.63,6036.13,3166.22,20.7459,32.6479,17.1253
4437336,3850.93,5992.14,3155.85,20.8283,32.4094,17.0689
4440834,3821.94,5998.43,3158.52,20.6553,32.4179,17.0699
4437331,3832.56,6008.92,3143.35,20.729,32.5002,17.0013
4434750,3850.76,5976.03,3151.86,20.8395,32.3411,17.0572
4433805,3854.37,6013.55,3148.54,20.8636,32.5511,17.0429
4435940,3808.41,5956.42,3135.65,20.6048,32.2263,16.965
4436192,3829.16,5980.4,3149.93,20.7159,32.3542,17.0413
4437459,3832.64,5972.93,3135.65,20.7288,32.3046,16.9592
4439823,3824.86,6024.37,3173.88,20.6757,32.5655,17.1568
4439110,3837.12,6045.05,3168.45,20.7453,32.6825,17.1302
4438333,3860.87,5982.19,3148.23,20.8774,32.3483,17.0238
4437257,3833.96,6025.38,3159.77,20.7369,32.5898,17.0904
4436601,3841.97,6040.08,3165.62,20.7833,32.6741,17.1246
4439916,3834.27,6055.29,3169.36,20.7262,32.7319,17.132
4437033,3831.39,6026.61,3157.71,20.7241,32.5981,17.0801
4435996,3840.96,5990.19,3135.55,20.7807,32.4087,16.9642
4434801,3845.51,5963.14,3135.24,20.8109,32.271,16.9671
4438889,3827.51,6095.05,3189.2,20.6944,32.9545,17.2432
4439478,3825.5,5989.85,3140.83,20.6808,32.3814,16.9795
4437043,3839.25,5952.77,3124.76,20.7665,32.1986,16.9019
4434172,3827.68,5996.39,3143.83,20.7173,32.4555,17.016
4437971,3828.49,5987.19,3140.97,20.704,32.378,16.986
4435425,3809.97,5970,3133.71,20.6157,32.3035,16.9565
4436044,3842.79,6051.7,3183.65,20.7904,32.7411,17.2243
4437332,3826.43,6040.29,3151.52,20.6958,32.6699,17.0455
4438635,3831.36,6003.29,3136.98,20.7164,32.4602,16.9619
4440085,3836.46,6032.86,3171.48,20.7372,32.6094,17.1428
4437754,3856.51,6019.97,3151.45,20.8566,32.5569,17.0435
4440642,3829.48,5976.84,3134.79,20.6969,32.3026,16.9424
4439164,3820.36,5966.37,3140.41,20.6545,32.2567,16.9784
