Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5146793,4053.7,6525.17,3555.56,18.9028,30.4275,16.5799
5149857,4126.27,6623.92,3582.57,19.2298,30.8696,16.6959
5149253,4207.29,6765.68,3679.45,19.6096,31.534,17.1494
5150725,4304.13,6832.38,3745.37,20.0553,31.8358,17.4517
5149922,4299.28,6967.78,3768.89,20.0358,32.4717,17.564
5151315,4337.29,7000.82,3807.02,20.2075,32.6169,17.7369
5149423,4335.6,7122.27,3852.21,20.207,33.1949,17.9541
5148688,4330.9,7025.44,3813.44,20.188,32.7483,17.7759
5149110,4341.07,7037.04,3817.38,20.2337,32.7996,17.7928
5143751,4363.54,7044.81,3807.73,20.3596,32.8701,17.7663
5146426,4365.64,7052.04,3826.45,20.3589,32.8867,17.8444
5150625,4364.22,7101.36,3841.43,20.3357,33.0897,17.8996
5150355,4356.28,7160,3866.35,20.2997,33.3647,18.0167
5152403,4341.07,7117.43,3835.67,20.2208,33.1531,17.8666
5150366,4332.45,7009.99,3808.84,20.1886,32.6656,17.7487
5150305,4354.81,7165.21,3866.27,20.2931,33.3893,18.0165
5150823,4338.82,7102.79,3847.36,20.2165,33.0951,17.9266
5150942,4353.3,7102.09,3844.2,20.2835,33.0911,17.9115
5149023,4354.16,7149.62,3883.7,20.2951,33.3249,18.1022
5149894,4351.35,7026.94,3819.39,20.2786,32.7476,17.7994
5150462,4349.91,7095.19,3851.41,20.2696,33.062,17.9467
5150242,4368.47,7134.38,3859.84,20.357,33.246,17.9867
5150369,4347.35,7114.18,3842.4,20.258,33.1511,17.905
5150974,4344.38,7133.1,3854.49,20.2418,33.2353,17.9593
5151426,4375.02,7177.11,3875.77,20.3828,33.4375,18.0568
5149321,4360.46,7127.09,3846.22,20.3233,33.218,17.9265
5148131,4389.25,7220.59,3912.52,20.4622,33.6616,18.2397
5148791,4369.59,7126.95,3850.57,20.3679,33.2208,17.9486
5149119,4383.19,7114.05,3854.29,20.43,33.1585,17.9648
5147647,4364.97,7127.29,3850.76,20.3509,33.2298,17.9535
5149703,4370.31,7073.01,3819.65,20.3677,32.9635,17.8013
5149178,4368.38,7062.98,3828.77,20.3608,32.9201,17.8457
5149466,4379.21,7100.92,3850.62,20.4101,33.0951,17.9465
5151464,4366.32,7058.74,3830.41,20.3421,32.8857,17.8454
5148466,4334.5,7070.48,3841.49,20.2056,32.9596,17.9074
5151079,4380.08,7167.21,3881.68,20.4078,33.3936,18.0856
5152081,4368.98,7125.44,3866.68,20.3521,33.1925,18.0122
5148829,4360.99,7083.31,3843.1,20.3277,33.0171,17.9137
5148865,4375.47,7222.76,3897.37,20.395,33.6669,18.1665
5147897,4352.34,7116.08,3850.78,20.291,33.1759,17.9527
