Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
5857323,4815.18,8339.2,4749.73,19.7299,34.1693,19.4617
5852856,4852.34,8437.25,4806.96,19.8973,34.5975,19.7112
5852208,4906.17,8600.65,4874.95,20.1203,35.2714,19.9923
5852773,4933.63,8666.93,4864.41,20.2309,35.5398,19.9471
5855818,4955.43,8741.84,4950.23,20.3098,35.8283,20.2885
5854463,4894.87,8578.91,4858.72,20.0662,35.1687,19.918
5856497,4953.38,8759.7,4928.42,20.299,35.8974,20.1967
5854621,4902.74,8599.54,4863.85,20.0979,35.2523,19.9385
5855786,4949.13,8715.5,4912.26,20.2841,35.7206,20.133
5853699,4883.29,8563.73,4847.11,20.0213,35.1111,19.873
5854438,4980.45,8790.35,4938.51,20.4171,36.0357,20.2452
5857619,4936.14,8793.16,4920.62,20.2245,36.0276,20.1609
5853675,4949.45,8753.68,4904.35,20.2927,35.89,20.1078
5853296,4944.43,8738.61,4922.02,20.2734,35.8305,20.1815
5855228,4888.43,8550.58,4827.02,20.0372,35.048,19.7855
5855628,4920.24,8611.1,4873.92,20.1662,35.2936,19.9764
5854332,4916.7,8730.12,4905.9,20.1562,35.7894,20.1119
5855768,4882.78,8556.08,4845.44,20.0122,35.0673,19.8591
5855664,4936.68,8669.43,4885.83,20.2335,35.5325,20.0251
5856192,4881.51,8559.25,4828.65,20.0055,35.0777,19.7889
5856617,4900.73,8554.84,4838.13,20.0828,35.0571,19.8263
5852756,4930.92,8727.52,4942.68,20.2199,35.7884,20.2681
5854893,4898.33,8576.49,4881.06,20.0789,35.1562,20.0081
5856332,4907.29,8661.93,4886.45,20.1107,35.4977,20.0253
5854216,4938.59,8644.04,4889.66,20.2463,35.4372,20.0457
5856799,4936.87,8612.27,4863.44,20.2303,35.2914,19.9294
5853661,4965.62,8764.16,4946.82,20.359,35.9331,20.282
5856003,4875.55,8535.56,4828.66,19.9818,34.9818,19.7896
5854840,4917.64,8661.5,4896.65,20.1582,35.505,20.0722
