Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2616050,2217.49,3553.06,2049.75,20.3436,32.5963,18.8047
2616419,2192.3,3521.94,2012.14,20.1096,32.3062,18.4571
2615800,2219.16,3615.15,2061.64,20.3608,33.169,18.9156
2615611,2214.71,3553.37,2034.93,20.3214,32.6046,18.6719
2616364,2196.04,3602.28,2044.32,20.1444,33.0438,18.7526
2616039,2241.34,3652.33,2078.77,20.5624,33.5071,19.071
2616348,2249.3,3727.04,2107.51,20.6331,34.1885,19.3323
2615974,2251.55,3714.78,2097.35,20.6566,34.0809,19.242
2615873,2233.53,3666,2084.34,20.4921,33.6347,19.1233
2615770,2244.28,3729.57,2104.71,20.5915,34.2192,19.3109
2615891,2238.85,3678.46,2087,20.5408,33.7488,19.1476
2615710,2245.72,3705.12,2094.01,20.6052,33.9957,19.2132
2616380,2243.62,3709.36,2095.87,20.5806,34.0259,19.2254
2615937,2206.36,3616.87,2049.83,20.2423,33.1831,18.8063
2616176,2217.6,3707.37,2091.64,20.3436,34.0103,19.1881
2615476,2226.84,3666.55,2075.69,20.4338,33.6448,19.0468
2615957,2224.91,3651.67,2062.21,20.4124,33.5021,18.9197
2616759,2236.15,3665.81,2079.58,20.5092,33.6215,19.0732
2616534,2216.26,3649.17,2078.05,20.3286,33.4718,19.0608
2615805,2224,3666.92,2080.02,20.4052,33.6439,19.0842
2615621,2242.34,3677.99,2090.02,20.5749,33.748,19.1772
2616249,2228.1,3677.22,2082.52,20.4393,33.7327,19.1038
2616893,2230.55,3642.96,2077.85,20.4568,33.4102,19.0564
2616692,2207.92,3621.02,2059.33,20.2508,33.2116,18.8879
2616830,2214.27,3625.26,2060.08,20.3079,33.2487,18.8938
2616303,2217.12,3667.79,2081.93,20.3382,33.6455,19.0981
2616587,2218.76,3661.69,2077.88,20.3511,33.586,19.0588
2616293,2216.51,3658.82,2076.73,20.3327,33.5634,19.0504
2616345,2223.62,3678.51,2077.82,20.3975,33.7434,19.0601
