Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2651140,2163.15,3357.23,1908.16,19.5824,30.3921,17.274
2649554,2189.85,3418.85,1945.95,19.8359,30.9684,17.6267
2649727,2276.17,3495.1,1996,20.6165,31.657,18.0788
2649935,2447.27,3676.4,2098.39,22.1645,33.2965,19.0048
2649924,2509.3,3801.9,2174.73,22.7264,34.4333,19.6962
2649745,2502.07,3858.02,2203.96,22.6625,34.9439,19.9623
2649942,2535.29,3927.3,2242.32,22.9616,35.5688,20.3083
2649405,2747.49,4141.01,2378.45,24.8886,37.5119,21.5455
2649902,2620.27,4029.28,2305.28,23.7317,36.493,20.8788
2648742,2558.43,3915.94,2236.62,23.1817,35.482,20.2658
2650174,2547.23,3910.05,2239.91,23.0677,35.4095,20.2847
2650466,2687.59,4212.27,2411.69,24.3361,38.1421,21.8379
2650043,2729.8,4237.15,2433.04,24.7224,38.3736,22.0347
2649870,2720.7,4240.53,2430.77,24.6415,38.4067,22.0156
2649165,2446.86,3764.55,2165.01,22.1672,34.1048,19.6138
2649950,2406.68,3772.48,2161.76,21.7967,34.1665,19.5786
2650326,2369.73,3737,2140.1,21.4591,33.8403,19.3797
2651743,2380.7,3772.49,2143.41,21.5469,34.1435,19.3993
2650186,2418.68,3915.9,2223.41,21.9034,35.4623,20.1351
2648900,2386.22,3843.62,2193.82,21.62,34.8246,19.8768
2649230,2368.2,3789.77,2160.29,21.454,34.3324,19.5706
2650058,2388.85,3823.67,2176.25,21.6344,34.6287,19.709
2648811,2366.25,3831.31,2188.53,21.4399,34.7142,19.8295
2651761,2384.2,3842.81,2186.81,21.5784,34.7797,19.7919
2648638,2338.18,3760.19,2147.7,21.1869,34.072,19.4609
2648775,2374.57,3779.02,2151.2,21.5155,34.241,19.4916
2649981,2362.53,3780.15,2156.86,21.3966,34.2356,19.534
2650499,2393.17,3883.3,2206.59,21.6699,35.1629,19.9805
2650013,2346.62,3768.94,2142.53,21.2523,34.1337,19.404
2649492,2359.15,3726.45,2110.1,21.37,33.7554,19.114
2649634,2386.69,3860.4,2179.85,21.6183,34.967,19.7448
2649455,2390.96,3794.34,2157.45,21.6585,34.3709,19.5432
2649327,2382.93,3799.44,2162.99,21.5867,34.4187,19.5943
2648788,2353,3827.1,2166.44,21.3199,34.6764,19.6296
2651483,2376.31,3828.23,2180.57,21.5093,34.6514,19.7375
2650325,2352.15,3771.33,2130.09,21.2999,34.1512,19.2891
2651434,2366.75,3782.57,2149.76,21.4231,34.2387,19.459
2650542,2377.32,3825.49,2164.36,21.526,34.6388,19.5978
2649485,2374.27,3784.93,2150.83,21.507,34.2853,19.483
2650858,2393.23,3877.84,2197.18,21.6675,35.1087,19.8926
2651532,2354.16,3780.31,2153.12,21.3084,34.2169,19.4887
2651009,2393.46,3829.2,2173.97,21.6683,34.6663,19.6812
2648848,2373.65,3807.19,2152.03,21.5065,34.4952,19.4985
2649858,2346,3749.86,2124.11,21.248,33.9628,19.2382
2649425,2395.86,3897.86,2194.99,21.7031,35.3091,19.8834
2650607,2383.63,3823.33,2168.36,21.5827,34.6185,19.6335
2649007,2384.07,3805.18,2156.32,21.5996,34.4749,19.5362
2649207,2363.77,3772.47,2136.83,21.4141,34.176,19.3582
2651557,2373.62,3813.81,2156.39,21.4843,34.5199,19.5181
2649877,2359.42,3795.46,2152.27,21.3693,34.3756,19.4931
2649578,2351.34,3758.73,2136.25,21.2985,34.0468,19.3503
2650671,2375.75,3787.13,2148.9,21.5108,34.2898,19.4568
2650324,2349.26,3790.11,2157.27,21.2737,34.3213,19.5352
2650215,2377.15,3795.26,2151.9,21.5271,34.3694,19.4873
2650269,2375.26,3831.15,2163.01,21.5096,34.6937,19.5875
2652265,2389.51,3775.6,2156.92,21.6224,34.1649,19.5176
2650615,2362.07,3781.07,2150.99,21.3873,34.2357,19.4761
2650378,2370.95,3773.73,2149.97,21.4697,34.1723,19.4686
2650881,2373.65,3793.17,2157.14,21.49,34.3418,19.5299
2650172,2386.84,3767.5,2147.03,21.6153,34.1185,19.4435
2650987,2383.27,3853.56,2194.2,21.5763,34.8871,19.8646
2650023,2373.56,3822.95,2173.1,21.4962,34.6226,19.6808
2650698,2393.07,3824.02,2171.86,21.6673,34.6235,19.6645
2648916,2356.84,3743.23,2144.59,21.3537,33.9149,19.4306
2650984,2345.59,3782.63,2159.66,21.2352,34.245,19.5519
2649764,2365.96,3824.49,2179.5,21.4295,34.6399,19.7406
2650604,2374.04,3810.12,2171.33,21.4959,34.4989,19.6604
2650302,2369.41,3812.74,2162.29,21.4564,34.5265,19.5808
2649589,2365.21,3814.76,2161.98,21.4241,34.5541,19.5833
2650106,2372.34,3850.68,2187.64,21.4845,34.8727,19.8118
2650529,2360.79,3798.29,2157.55,21.3764,34.3928,19.5362
2649608,2365.48,3740.27,2143.1,21.4264,33.8792,19.4121
2650162,2386.4,3821.15,2176.04,21.6114,34.6045,19.7064
2650010,2378.92,3839.87,2177.41,21.5449,34.7761,19.7199
2651457,2379.2,3791.27,2152.84,21.5356,34.3172,19.4867
2650858,2369.49,3806.15,2164.84,21.4526,34.4596,19.5998
2651755,2380.77,3853.52,2177.35,21.5474,34.8767,19.7063
2650703,2358.8,3804.98,2149.82,21.357,34.4511,19.4649
2649618,2362.8,3769.69,2148.98,21.402,34.1455,19.4653
2649409,2380.69,3792.22,2154.55,21.5658,34.3523,19.5172
2649860,2379.3,3842.68,2171.21,21.5495,34.8035,19.6648
2650449,2369.64,3821.51,2175.35,21.4573,34.6041,19.6979
2649805,2383.11,3906.97,2216.07,21.5845,35.3864,20.0715
2648431,2401.66,3857.51,2191.78,21.7638,34.9566,19.8618
2650242,2383.43,3874.36,2187.73,21.5838,35.0854,19.8116
2650047,2376.17,3774.1,2151.13,21.5197,34.1799,19.4816
2650367,2384.24,3851.14,2183.27,21.5901,34.8735,19.7702
2649140,2353.64,3780.21,2144.63,21.3229,34.247,19.4294
2649013,2393.06,3894.82,2215.36,21.6811,35.287,20.0711
2650254,2390.03,3909.36,2208.76,21.6435,35.4022,20.0019
2651337,2390.21,3800.85,2158.06,21.6363,34.4054,19.5348
2650278,2350.5,3774.4,2156.45,21.2853,34.1796,19.5281
2649973,2387.43,3839.52,2183.68,21.6222,34.7734,19.7769
2650036,2367.17,3802.25,2162.52,21.4383,34.435,19.5848
2648627,2387.99,3912.41,2215.42,21.6383,35.4515,20.0746
2650426,2398.34,3879.39,2195.8,21.7174,35.1284,19.8833
2649338,2393.68,3889.36,2205.02,21.6841,35.2332,19.975
2650123,2397.69,3791.24,2159.9,21.7139,34.3342,19.5605
2650447,2386.28,3836.69,2176.25,21.608,34.7415,19.7061
2649693,2383.84,3806.16,2166.43,21.592,34.4748,19.6228
2650253,2359.78,3749.27,2128.32,21.3695,33.9524,19.2735
2650567,2398.06,3820.24,2173.98,21.7136,34.591,19.6847
2649993,2372.92,3837.06,2176.28,21.4906,34.7508,19.7098
2649455,2378.83,3820.44,2173.01,21.5486,34.6073,19.6841
2648799,2382.52,3868.39,2199.48,21.5874,35.0504,19.9288
2650420,2400.52,3877.2,2208.65,21.7371,35.1087,19.9997
2650424,2398.52,3856.47,2194.1,21.719,34.9209,19.8679
2650246,2364.5,3808.86,2160.31,21.4123,34.4922,19.5632
2650378,2406.05,3896.21,2211.26,21.7875,35.2814,20.0236
2649733,2380.23,3820.46,2171.73,21.5589,34.6039,19.6705
2648853,2358.18,3775.88,2152.97,21.3664,34.2115,19.507
2650097,2383,3882.42,2208.95,21.5811,35.1603,20.0049
2649919,2394.24,3863.71,2202.6,21.6843,34.9932,19.9486
2650700,2395.41,3896.45,2219.68,21.6886,35.2793,20.0974
2648963,2382.45,3823.33,2175.24,21.5854,34.6399,19.708
2650219,2381.59,3921.45,2212.2,21.5673,35.5121,20.0333
2651500,2387.71,3812.16,2176.91,21.6123,34.5057,19.7043
2650609,2387.94,3836.29,2175.17,21.6216,34.7358,19.6952
2649822,2735.79,4215.33,2422.87,24.7786,38.1792,21.9445
2651811,2735.25,4234.89,2446.35,24.7551,38.3275,22.1405
2648856,2755.33,4300.34,2477.18,24.9647,38.9633,22.4445
2650113,2780.02,4327.56,2492.54,25.1765,39.1913,22.573
2649417,2729.89,4248.2,2447.06,24.729,38.4827,22.1669
2650757,2499.19,3885.09,2224.68,22.6277,35.1757,20.1423
2650322,2431.11,3780.7,2172.36,22.0149,34.2361,19.6718
2650926,2434.69,3880.92,2213.66,22.0423,35.1357,20.0412
2651821,2439.84,3878.25,2213.28,22.0815,35.0997,20.031
2651017,2429.22,3945.64,2251.14,21.9921,35.7204,20.3799
2650856,2447.2,3935.35,2243.79,22.1562,35.6294,20.3146
2650818,2419.53,3850.32,2200.19,21.906,34.86,19.9201
2650680,2408.71,3898.74,2222.45,21.8092,35.3002,20.1227
2650190,2411.32,3902.67,2213.59,21.8368,35.3424,20.0461
2650040,2418.95,3970.39,2242.81,21.9072,35.9577,20.312
2650084,2414.59,3889.48,2219.67,21.8673,35.2243,20.1021
2650440,2383.41,3817.73,2188.15,21.582,34.5699,19.8139
2649728,2409.69,3881.88,2211.95,21.8258,35.1603,20.0348
2650331,2401.05,3904.18,2215.69,21.7426,35.3542,20.0641
2649905,2390.26,3935.67,2237.94,21.6484,35.6451,20.2688
2651919,2397.59,3811.42,2166.59,21.6983,34.4935,19.6077
2649682,2403.91,3916.29,2221.21,21.7739,35.4726,20.1191
2650715,2387.04,3869.4,2200.98,21.6127,35.0342,19.928
2650824,2393.1,3810.94,2169.14,21.6666,34.5034,19.6389
2650950,2415.21,3909.37,2207.18,21.8657,35.3929,19.9824
2650583,2406.12,3936.09,2234.44,21.7865,35.6398,20.232
2649807,2392.45,3825.69,2187,21.6691,34.6503,19.8083
2650818,2395.72,3809.42,2165,21.6904,34.4897,19.6015
2649213,2386.75,3857.14,2188.06,21.6223,34.9429,19.8223
