Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2320380,2008.42,3346.15,1920.12,20.7733,34.6096,19.8601
2319791,2045.29,3393.04,1953.08,21.1601,35.1036,20.2061
2320241,2065.74,3458.09,1991.69,21.3675,35.7696,20.6015
2319738,2111.2,3500.68,2017.49,21.8425,36.2181,20.8729
2320140,2133.39,3556.65,2054.92,22.0682,36.7907,21.2565
2320487,2035.45,3367.11,1934.08,21.0519,34.8249,20.0035
2320110,1993.2,3317,1904.58,20.6183,34.3122,19.7016
2320910,1993.45,3336.49,1909.09,20.6138,34.5019,19.7415
2319956,1983.69,3375.31,1924.92,20.5213,34.9177,19.9133
2319658,2005.85,3414.88,1952.01,20.7533,35.3315,20.1961
2320451,2044.07,3504,1988.67,21.1414,36.2412,20.5684
2319890,2002.87,3464.23,1969.36,20.7204,35.8385,20.3736
2320182,2009.9,3451.9,1960.07,20.7904,35.7065,20.275
2320636,1996.96,3421.97,1942.2,20.6525,35.39,20.0863
2320074,1990.64,3450.97,1963.69,20.5922,35.6986,20.3134
2320696,1988.88,3437.05,1954.62,20.5684,35.5451,20.2142
2320798,1985.11,3395.31,1927.9,20.5286,35.1118,19.937
2320699,1982.26,3454.2,1951.42,20.5,35.7223,20.1811
2319720,1987.24,3435.6,1937.34,20.5601,35.545,20.0439
2319509,1961.66,3390.78,1920.49,20.2973,35.0844,19.8714
2320025,1962.76,3355.79,1901.17,20.3042,34.7147,19.6671
2320864,1981.87,3404.02,1928.02,20.4944,35.2009,19.9376
2319824,1987.43,3402.23,1932.49,20.5612,35.1982,19.9928
2320306,1969.44,3390.8,1915.89,20.3708,35.0726,19.8169
2319788,1976.12,3353.48,1899.79,20.4445,34.6944,19.6548
2320176,1970.01,3383.66,1926.9,20.3778,35.0008,19.9319
2320273,1960.81,3347.36,1899.08,20.2818,34.6238,19.6434
2320872,1967.08,3394.09,1923.06,20.3415,35.098,19.8862
2319748,1968.98,3333.82,1889.11,20.3709,34.4916,19.5447
2320675,1961.62,3382.21,1921.11,20.2867,34.9782,19.8678
2318634,1976.73,3391.02,1921.37,20.461,35.1001,19.888
2319878,1977.03,3376,1912.54,20.4531,34.926,19.786
2321060,1973.02,3367.81,1903.24,20.4013,34.8235,19.6797
2320684,1974.94,3343.27,1894.35,20.4244,34.5754,19.5909
2319210,1981.03,3378.33,1920.01,20.5004,34.9602,19.8689
2321149,1958.42,3350.84,1904.3,20.2495,34.6467,19.6899
2320478,1963.43,3357.15,1914.65,20.3071,34.722,19.8027
2319640,1956.52,3331.55,1901.15,20.243,34.4697,19.6701
2319646,1959.79,3361.92,1913.68,20.2768,34.7838,19.7997
2320126,1998.55,3441.17,1949.39,20.6735,35.5964,20.165
2319889,2021.03,3514.25,2000.53,20.9082,36.356,20.6961
2319364,1998.91,3401.29,1926.11,20.6841,35.1954,19.9307
2320595,1999.67,3426.85,1943.62,20.681,35.4411,20.1013
2319412,1977.65,3386.02,1936.05,20.4637,35.0367,20.0331
2320383,1956.9,3393.07,1922.83,20.2405,35.0949,19.8881
2319711,1937.77,3383.79,1920.93,20.0484,35.0091,19.8742
2320048,1963.16,3453.81,1958.06,20.3081,35.7283,20.2554
2320128,1958.35,3401.03,1922.11,20.2576,35.1811,19.8828
2321071,1966.85,3388.38,1932.09,20.3373,35.036,19.9779
2320217,1962.48,3364.63,1911.21,20.2996,34.8033,19.7693
2319428,1952.13,3364.18,1913.28,20.1994,34.8104,19.7974
2320404,1945.44,3329.66,1896.19,20.1218,34.4388,19.6124
2319817,1964.92,3372.89,1910.68,20.3284,34.8947,19.7672
2320846,1950.33,3352.03,1906.01,20.1685,34.6635,19.7102
2318927,1957.49,3378.78,1921.83,20.2593,34.969,19.8902
2319181,1951.74,3396.41,1926.75,20.1976,35.1476,19.9389
2319851,1957.02,3354.24,1894.13,20.2463,34.7013,19.5958
2320155,1943.57,3329.67,1893.74,20.1045,34.4425,19.5891
2319983,1970.17,3407.7,1935.83,20.3812,35.2523,20.026
2319839,1960.46,3387.92,1909.26,20.282,35.0499,19.7523
2320191,1961.01,3342.11,1884.17,20.2847,34.5707,19.4898
2320652,1960.11,3413.69,1934.65,20.2713,35.3041,20.008
2319705,1968.87,3383.87,1918.34,20.3702,35.01,19.8474
2319417,1953.62,3335.3,1890.16,20.215,34.5117,19.5583
2319779,1964.01,3400.2,1914.03,20.3193,35.1778,19.8022
2319966,1949.36,3378.32,1921.79,20.1661,34.9487,19.8809
2320761,1973.42,3408.17,1928.83,20.408,35.2454,19.9468
2320558,1963.69,3396.99,1924.2,20.3091,35.1328,19.9007
2320013,1954.18,3356.1,1901.49,20.2155,34.7181,19.6705
2320763,1966.88,3412.79,1929.37,20.3404,35.2931,19.9524
2319572,1948.12,3393.6,1922.79,20.1567,35.1127,19.8946
2320193,1965,3418.41,1931.04,20.3259,35.3599,19.9746
2319343,1953.9,3361.94,1902.44,20.2185,34.7885,19.686
2320032,1960.31,3420.81,1933.15,20.2788,35.3872,19.9978
2321142,1952.57,3378.34,1916.19,20.1891,34.9312,19.813
2319750,1958.57,3370.1,1915.32,20.2633,34.8668,19.8158
2320467,1964.3,3323.83,1887.26,20.3162,34.3776,19.5195
2319573,1955.82,3398.88,1909.54,20.2363,35.1673,19.7575
2320501,1967.94,3369.39,1904.26,20.3536,34.8482,19.695
2320603,1950.95,3362.38,1912.88,20.177,34.7742,19.7833
2320355,1967.78,3424.79,1938.45,20.3532,35.4235,20.0499
2321126,1945.09,3371.43,1903.54,20.1119,34.8599,19.6823
2320338,1963.72,3416.61,1943.4,20.3114,35.3391,20.1013
2320067,1959.44,3386.33,1919.4,20.2694,35.03,19.8553
2320120,1961.98,3369.25,1918.64,20.2953,34.8525,19.847
2320866,1946.53,3372.26,1912.27,20.129,34.8724,19.7747
2319975,1965.19,3363.29,1914.81,20.3297,34.793,19.8086
2320296,1964.68,3388.66,1918.19,20.3217,35.0507,19.8409
2320508,1954.28,3355.59,1914.59,20.2122,34.7054,19.8018
2320711,1947.75,3385.8,1924.27,20.143,35.0148,19.9001
2320419,1949.99,3399.75,1928.13,20.1687,35.1635,19.9426
2319639,1953.1,3374.61,1927.73,20.2076,34.9152,19.9451
2320410,1956.8,3391.79,1920.34,20.2392,35.0813,19.8621
2320428,1957.27,3387.17,1930.39,20.2439,35.0332,19.9659
2320141,1957.77,3403.1,1928.97,20.2515,35.2023,19.9537
2319681,1953.3,3407.04,1931.81,20.2093,35.2501,19.987
2319818,1954.61,3435.03,1941.82,20.2217,35.5376,20.0894
2320768,1951.12,3393.73,1934.3,20.1773,35.096,20.0034
2320709,1953.95,3401.7,1924.47,20.2071,35.1792,19.9023
2319590,1939.88,3376.67,1913.96,20.0713,34.9372,19.8031
2320208,1967.1,3357.54,1904.71,20.3475,34.73,19.7021
2319976,1951.66,3397.5,1922.1,20.1898,35.1469,19.884
2320527,1947.65,3381.25,1920.95,20.1436,34.9705,19.8674
2320001,1952.82,3350.9,1902.57,20.2016,34.6645,19.6818
2320929,1950.8,3353.24,1900.4,20.1726,34.6748,19.6515
2318967,1949.33,3368.71,1917.97,20.1745,34.8642,19.8499
2319353,1953.22,3376.12,1900.34,20.2114,34.9351,19.6642
2320267,1962.88,3425.82,1927.95,20.3033,35.4354,19.942
2320656,1957.33,3369.24,1911.89,20.2425,34.8444,19.7726
2320043,1956.65,3416.54,1926.85,20.2408,35.3429,19.9325
2320605,1971.11,3363.35,1895.24,20.3855,34.7842,19.6009
2319811,1941.48,3377.24,1916.46,20.086,34.9398,19.8271
2319657,1944.99,3370.52,1911.67,20.1235,34.8726,19.7788
2320622,1954.35,3369.32,1922.26,20.212,34.8457,19.8801
2319955,1963.75,3370.55,1904.01,20.3151,34.8685,19.697
2320816,1959.6,3400.81,1925.53,20.2646,35.1684,19.9123
2320082,1957.61,3394.24,1918.98,20.2505,35.1116,19.8508
2318951,1948.09,3360.13,1895.32,20.1617,34.7757,19.6156
2319633,1956.58,3367.03,1910.58,20.2437,34.8368,19.7677
2319691,1955.76,3407.05,1932.23,20.2346,35.25,19.9913
2320002,1948.02,3354.25,1912.9,20.1519,34.6991,19.7886
2320373,1953.61,3369.18,1908.38,20.2065,34.848,19.7387
