Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2460473,1939.85,3458.56,2002.74,18.9217,33.7356,19.5352
2460086,2004.85,3581.31,2064.26,19.5588,34.9383,20.1384
2460002,2049.37,3667.68,2116.85,19.9938,35.7822,20.6521
2460485,2104.48,3708.93,2162.7,20.5275,36.1775,21.0954
2459997,2080.64,3676.04,2131.28,20.299,35.8638,20.793
2460064,1994.12,3569.43,2061.86,19.4544,34.8228,20.1152
2460045,2008.14,3588.52,2083.59,19.5912,35.0093,20.3274
2459967,1981.73,3592.31,2058.85,19.3342,35.0474,20.0866
2460266,2016.82,3678.41,2103.8,19.6742,35.8831,20.5227
2460290,2016.27,3650.39,2092.07,19.6686,35.6094,20.4081
2459920,2022.71,3725.66,2129.11,19.7344,36.3491,20.7725
2460385,2015.92,3705.95,2114.52,19.6644,36.1499,20.6262
2459875,2006.59,3669.18,2101.85,19.5775,35.7987,20.5069
2460283,2018.54,3670.46,2098.68,19.6908,35.8052,20.4726
2460241,1988.87,3672.26,2090.94,19.4017,35.8234,20.3974
2460562,1997.52,3674.69,2094.61,19.4836,35.8424,20.4306
2460474,2001.08,3630.54,2078.65,19.519,35.4131,20.2756
2460161,1968.8,3615.02,2067.17,19.2065,35.2662,20.1662
2460555,2004.73,3648.78,2094.44,19.5539,35.5898,20.4289
2460545,1983.2,3661.63,2089.6,19.344,35.7153,20.3818
2459962,1998.75,3627.65,2076.28,19.5003,35.3922,20.2567
2460361,1975.42,3590.95,2057.7,19.2696,35.0285,20.0722
2459979,2002.11,3627.68,2075.77,19.5329,35.3923,20.2516
2459917,1986.83,3586.19,2053.73,19.3844,34.9884,20.0371
2460099,1983,3647.19,2085.86,19.3455,35.5809,20.349
2460100,1974.22,3642.02,2074.33,19.2599,35.5304,20.2366
2460267,1991.44,3655.56,2084.61,19.4265,35.6601,20.3355
2460176,1995,3671.13,2100.47,19.462,35.8133,20.4909
2460439,1980.45,3602.69,2059.07,19.318,35.1419,20.0849
2460372,1992.97,3629.78,2073.53,19.4406,35.4072,20.2265
2460414,1977.16,3648.48,2075.63,19.2861,35.589,20.2467
2460086,1969.19,3654.49,2084.32,19.2109,35.6523,20.3341
2460299,1988.32,3600.31,2064.42,19.3959,35.1207,20.1382
2459865,1979.32,3637.38,2073.38,19.3115,35.4886,20.2292
2460172,1983.77,3645.7,2085.87,19.3525,35.5653,20.3485
2460377,1977.74,3593.15,2061.46,19.2921,35.0498,20.1088
2460306,1994.51,3559.12,2041.5,19.4563,34.7188,19.9146
2460482,1983.08,3662.44,2086.89,19.3434,35.7241,20.3559
2460078,1986.5,3576.47,2056.97,19.3799,34.8913,20.0673
