Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2736663,2671.86,4013.67,2368.46,23.4317,35.1991,20.7709
2736373,2736.7,4089.08,2424.17,24.0029,35.8642,21.2617
2736747,2832.78,4192.69,2496.92,24.8422,36.7679,21.8968
2736688,2967.52,4372.31,2609.03,26.0243,38.3439,22.8805
2736496,3092.53,4559.16,2733.5,27.1226,39.9854,23.9737
2736728,3146.4,4626.87,2775.61,27.5926,40.5758,24.341
2736596,3141.51,4605.28,2764.9,27.5511,40.3884,24.2482
2736340,2896.54,4251.76,2528.54,25.4051,37.2915,22.1774
2736880,2767.48,4122.04,2442.21,24.2684,36.1466,21.416
2736555,2726.35,4100.35,2421.7,23.9105,35.9607,21.2387
2737025,2722.48,4092.34,2408.3,23.8725,35.8843,21.1176
2737160,2750.45,4193.63,2465.78,24.1165,36.7706,21.6205
2736909,2951.08,4440.42,2640.18,25.878,38.9381,23.1518
2736683,2683.67,4044.35,2396.67,23.535,35.4679,21.0182
2736834,2730.25,4134.73,2438.38,23.9423,36.2585,21.3828
2736330,2705.11,4125.83,2432.19,23.7262,36.1871,21.3324
2736845,2743.31,4185.91,2461.35,24.0567,36.7072,21.5841
2736527,2724.99,4097.04,2412.14,23.8988,35.932,21.155
2736227,2731.37,4222.43,2470.5,23.9574,37.0358,21.6692
2736525,2767.78,4217.62,2466.47,24.2741,36.9896,21.6316
2736783,2707.18,4128.04,2423.97,23.7404,36.2005,21.2568
2736733,2725.44,4142.33,2442.17,23.901,36.3265,21.4168
2736422,2733.52,4197.66,2456.84,23.9745,36.8159,21.5479
2736453,2719.67,4203.3,2449.64,23.8528,36.865,21.4846
2736272,2726.12,4145.71,2428.22,23.9109,36.3622,21.2981
2736662,2704.88,4189.52,2437.08,23.7213,36.7413,21.3727
2736902,2727.88,4137.07,2424.23,23.9209,36.2781,21.2581
2736418,2704.55,4093.2,2412.45,23.7205,35.8998,21.1586
2736658,2716.9,4159.63,2444.32,23.8267,36.4792,21.4362
2736915,2715.8,4184.55,2451,23.8148,36.6943,21.4929
2736610,2700.62,4122.49,2423.26,23.6844,36.1542,21.252
2736714,2704.45,4125.96,2420.21,23.717,36.1832,21.2244
2736915,2702.15,4139.84,2431.79,23.6952,36.3023,21.3244
2736630,2685.38,4079.69,2389.64,23.5506,35.7786,20.9569
2736767,2711.31,4173.03,2433.82,23.7768,36.5953,21.3433
2736520,2694.1,4120.46,2415.8,23.6279,36.1375,21.1872
2736349,2700.62,4148.88,2437.18,23.6867,36.389,21.376
2736816,2676.11,4079.7,2397.16,23.4677,35.7762,21.0214
2736398,2707.17,4080.74,2410.03,23.7437,35.7907,21.1376
2736852,2688.91,4147.93,2432.05,23.5796,36.374,21.3271
2736838,2694.56,4073.39,2401.69,23.6293,35.7206,21.061
2736637,2690.77,4182.32,2440.09,23.5977,36.6785,21.3993
2736547,2689.17,4162.39,2426.06,23.5845,36.5049,21.277
2737166,2693.63,4119.26,2405.94,23.6183,36.1185,21.0957
2736430,2726.28,4156.47,2444.78,23.911,36.4546,21.4421
2736198,2692.76,4127.79,2420.1,23.619,36.206,21.2274
2736577,2708.61,4185.19,2432.92,23.7547,36.7045,21.3369
2736608,2692.33,4069.91,2396.63,23.6117,35.693,21.0184
2736852,2711.79,4131.38,2430.15,23.7802,36.2289,21.3105
2736812,2705.96,4142.88,2430.16,23.7294,36.3303,21.3109
2736700,2681.33,4178.35,2443.92,23.5144,36.6429,21.4324
2736275,2700.37,4104.89,2411.14,23.6851,36.0042,21.1482
2736388,2704.18,4139.53,2423.44,23.7175,36.3066,21.2552
2736634,2687.97,4130.35,2408.48,23.5732,36.2227,21.1221
2736701,2703.07,4158.34,2424.84,23.7051,36.4673,21.2651
2736890,2708.96,4168.03,2434.88,23.7551,36.5498,21.3516
2736725,2694.63,4111.84,2412.67,23.6309,36.0592,21.1582
2736777,2700.87,4140.68,2431.15,23.6851,36.3114,21.3198
2736612,2696.8,4118.88,2414.04,23.6509,36.1225,21.1711
2736802,2673.62,4078.24,2408.88,23.4459,35.7636,21.1244
2736636,2684.52,4107.62,2412.89,23.543,36.0234,21.1608
2736807,2706.59,4181.14,2437.15,23.735,36.6659,21.3722
2736546,2688.04,4092.03,2403.65,23.5746,35.8879,21.0805
2736811,2686.54,4158.75,2424.87,23.5592,36.4695,21.2644
2736961,2677.02,4131.41,2423.94,23.4744,36.2277,21.2551
2736596,2704.86,4125.91,2420.85,23.7216,36.1843,21.2309
2736703,2703.83,4122.04,2426.54,23.7118,36.149,21.28
2736807,2688,4128.36,2409.88,23.572,36.203,21.1331
2736724,2688.36,4109.56,2419.93,23.5759,36.0392,21.2218
2736959,2673.18,4126.74,2402.63,23.4407,36.1868,21.0683
2736983,2683.67,4128.48,2413.22,23.5325,36.2017,21.1609
2736872,2662.86,4078.98,2396.31,23.351,35.7691,21.0135
2736653,2696.93,4134.17,2414.41,23.6517,36.256,21.174
2736710,2684.28,4111.73,2401.14,23.5402,36.0585,21.0572
2736701,2668.46,4130.74,2412.44,23.4016,36.2253,21.1563
2736732,2697.71,4120.8,2411.86,23.6578,36.1377,21.151
2736832,2683.41,4136.55,2408.7,23.5315,36.2745,21.1225
2736845,2726,4200.87,2460.41,23.9049,36.8384,21.5759
2736725,2703.58,4059.91,2382.32,23.7094,35.6038,20.892
2736572,2710.03,4153.02,2433.85,23.7672,36.4224,21.3451
2736805,2694.74,4114.76,2409.84,23.6312,36.0838,21.1327
