Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
4995824,9012.15,12253.4,7352.56,39.6866,53.9599,32.3783
4998899,8989.64,12275.2,7374.16,39.5631,54.0228,32.4534
4995915,7487.92,10010.3,5977.56,32.9738,44.0813,26.3228
4994891,8049.68,10007.5,5956.33,35.4548,44.0779,26.2346
4996558,7392.23,10007.8,5964.84,32.5482,44.0647,26.2634
4999235,7504.99,10162.3,6033.49,33.027,44.721,26.5514
4995019,7278.01,9682.57,5701.33,32.0552,42.6458,25.1109
4998245,7513.09,9949,5856.71,33.0692,43.791,25.7786
4998623,7592.57,10140.2,5996.62,33.4165,44.629,26.3924
4996017,7928.62,10508.1,6222.94,34.9137,46.2727,27.4028
4999175,7642.97,10087.1,5966.04,33.6346,44.3904,26.2549
4995364,7634.32,10140.1,5999.78,33.6222,44.6577,26.4235
4994413,7712.05,10100.6,6056.04,33.971,44.4923,26.6764
4995608,7747.13,10370.2,6159.95,34.1174,45.6688,27.1276
4997489,7676.93,10236.9,6045.88,33.7954,45.0652,26.6152
5038224,6348.98,36994.4,6450.75,27.7236,161.54,28.168
5034269,6749.25,37975.4,6726.24,29.4946,165.954,29.394
5120326,7959.96,9863.69,6288.83,34.2008,42.3804,27.0206
5122928,8760.81,10707.7,6884.6,37.6226,45.9834,29.5653
5120599,9512.37,11602,7532.42,40.8687,49.8464,32.3621
5121295,8521.16,10550.9,6759.45,36.6051,45.3243,29.0372
5121965,9239.99,11184.1,7245.61,39.6879,48.0381,31.1216
5120827,9645.05,11658.9,7539.95,41.4369,50.0888,32.393
5120159,9368.71,11172.7,7217.3,40.2549,48.0064,31.0109
5116778,8203.87,10202.9,6506.79,35.2732,43.8681,27.9765
5120918,8379.6,10229,6510.53,35.9996,43.945,27.9699
5120423,8260.22,10327.2,6570.16,35.4902,44.3712,28.2288
5121650,8481.58,10488.9,6690.12,36.4325,45.0551,28.7373
4996945,7788.85,9812.53,6119.57,34.2919,43.2015,26.9426
4999384,8344.21,10493.3,6552.83,36.7191,46.1764,28.836
4996098,8623.6,10764.7,6764.36,37.9735,47.4015,29.7864
4996715,9449.75,11867.6,7509.89,41.6062,52.2518,33.0652
5010632,7526.56,9766.23,6082.81,33.0466,42.8802,26.7076
5005656,7596.87,10070.7,6251.93,33.3885,44.2608,27.4774
