Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,2888476,524287,262144,18,18,18,185.28,1207.8
0,2897059,524287,262144,18,18,18,185.771,1137.25
0,2895945,524287,262144,18,18,18,185.707,1183.66
0,2902395,524287,262144,18,18,18,186.076,1299.29
0,2889469,524287,262144,18,18,18,185.337,1253.37
0,581725,131071,65536,16,16,16,38.2865,187.874
0,2915429,524287,262144,18,18,18,186.822,1262.97
0,2911106,524287,262144,18,18,18,186.575,1248.11
0,23241402,4194303,2097152,21,21,21,1489.88,11377.9
0,2325986,524287,262144,18,18,18,153.094,968.952
0,23240073,4194303,2097152,21,21,21,1489.81,11516.1
0,31068708,4194303,2097152,21,21,21,1937.77,15614.4
0,31075233,4194303,2097152,21,21,21,1938.14,16032
0,31063054,4194303,2097152,21,21,21,1937.44,18138.5
0,31068647,4194303,2097152,21,21,21,1937.76,14993
0,31057366,4194303,2097152,21,21,21,1937.12,15381.5
0,31073220,4194303,2097152,21,21,21,1938.02,18377.5
0,31075599,4194303,2097152,21,21,21,1938.16,15364.4
0,31065801,4194303,2097152,21,21,21,1937.6,14655.4
0,31057935,4194303,2097152,21,21,21,1937.15,35832.9
0,31051717,4194303,2097152,21,21,21,1936.79,16759.1
0,31060346,4194303,2097152,21,21,21,1937.29,15653.8
0,31062456,4194303,2097152,21,21,21,1937.41,15886.8
0,31271272,4194303,2097152,21,21,21,1949.36,15561.6
0,31272783,4194303,2097152,21,21,21,1949.44,14726.9
0,31283670,4194303,2097152,21,21,21,1950.07,15762.6
