Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2611937,2364.38,3461.96,1988.24,21.7253,31.8105,18.2691
2612665,2439.15,3509.16,2034.16,22.4061,32.2352,18.6859
2612268,2415.56,3583.36,2061.85,22.1928,32.9218,18.943
2611256,2445.92,3599.22,2077.98,22.4804,33.0804,19.0987
2611675,2344.93,3466.94,1999.79,21.5488,31.8594,18.3771
2611614,2359.85,3511.6,2015.25,21.6864,32.2706,18.5195
2611939,2376.81,3533.31,2024.73,21.8395,32.4661,18.6044
2612002,2392.09,3572.57,2041.64,21.9794,32.826,18.7593
2612390,2355.66,3582.57,2048,21.6414,32.913,18.815
2611163,2371.59,3518.23,2017.65,21.798,32.3371,18.5448
2611224,2342.82,3531.68,2021.39,21.533,32.46,18.5788
2611639,2353.46,3513.47,2009.71,21.6274,32.2875,18.4685
2611962,2343.64,3519.38,2016.96,21.5346,32.3378,18.5328
2611952,2333.91,3475.39,1986.98,21.4452,31.9338,18.2575
2612015,2376.37,3591.36,2047.21,21.8349,32.9985,18.8104
2612199,2435.73,3600.19,2053.4,22.3787,33.0773,18.866
2612501,2441.42,3630.37,2079.07,22.4284,33.3508,19.0995
2611816,2458.26,3658.67,2098.4,22.589,33.6196,19.2822
2611874,2425.91,3653.5,2075.21,22.2913,33.5713,19.0687
2611917,2369.81,3572.38,2041.53,21.7754,32.8254,18.7589
2612066,2362.13,3516.65,2021.73,21.7036,32.3115,18.5759
2611435,2351.08,3615.07,2093.35,21.6073,33.2237,19.2386
2611716,2335.6,3468.17,1988.13,21.4626,31.8703,18.2696
2611968,2354.11,3512.07,2007.67,21.6307,32.2705,18.4474
2611654,2340.9,3493.5,1998.65,21.5119,32.1038,18.3668
2611587,2359.71,3502.16,2021.79,21.6853,32.1842,18.5798
2611118,2334.25,3517.54,2004.76,21.4552,32.3314,18.4266
2611681,2378.6,3569.18,2046.39,21.8581,32.799,18.8052
2612050,2412.95,3587.6,2068.22,22.1706,32.9635,19.0032
2611367,2419.89,3616.1,2072.3,22.2402,33.2341,19.0457
