Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2649021,2150.46,3562.52,2031.26,19.483,32.2762,18.4031
2649576,2225.17,3687.35,2094.03,20.1557,33.4002,18.9678
2650472,2280.45,3764.84,2136.48,20.6495,34.0906,19.3458
2648416,2298.21,3791.82,2162.25,20.8264,34.3615,19.5943
2648339,2214.06,3689.69,2108.56,20.0645,33.437,19.1084
2649965,2253.92,3755.45,2143.97,20.4131,34.0121,19.4174
2650025,2258.35,3790.76,2151.3,20.4528,34.3311,19.4833
2648293,2266.87,3873.55,2189.96,20.5434,35.1039,19.8464
2650514,2255.63,3849.89,2188.36,20.4244,34.8602,19.8153
2649841,2262.33,3798.15,2152.26,20.4902,34.4004,19.4934
2649611,2251.01,3785.22,2157.74,20.3895,34.2863,19.5447
2649666,2240.34,3765.93,2139.61,20.2924,34.1109,19.38
2649239,2244.95,3777.64,2146.38,20.3375,34.2224,19.4445
2648364,2253.08,3802.16,2162.21,20.4178,34.4559,19.5944
2648837,2265.72,3820.88,2170.82,20.5288,34.6194,19.6689
2650566,2259.22,3812.95,2159.02,20.4565,34.525,19.5492
2650075,2235.81,3796.91,2145.46,20.2483,34.3862,19.43
2649031,2251.12,3785.85,2150.02,20.3949,34.2994,19.479
2649389,2257.28,3824.38,2169.91,20.448,34.6439,19.6566
2650094,2235.4,3722.29,2121.15,20.2444,33.7101,19.2098
2651601,2232.11,3754.03,2141.45,20.2032,33.9782,19.3825
2649781,2255.25,3809.68,2145.22,20.4266,34.5056,19.43
2649924,2270.56,3764.55,2140.96,20.5642,34.095,19.3903
2649757,2249.28,3748.73,2120.46,20.3727,33.9539,19.206
2649624,2254.69,3794.92,2158.69,20.4227,34.374,19.5532
2649436,2273.66,3787.33,2156.34,20.596,34.3076,19.5333
2649572,2240.75,3724.69,2116.7,20.2969,33.7385,19.1732
2649666,2255.57,3793.6,2154.89,20.4304,34.3615,19.5185
2650145,2236.21,3756.4,2137.13,20.2514,34.0184,19.3541
2649781,2268.3,3797.28,2156.26,20.5448,34.3933,19.53
2649043,2260.3,3822.71,2181.69,20.478,34.6332,19.7658
2650139,2238.95,3776.84,2141.42,20.2762,34.2036,19.393
2650674,2266.04,3795.08,2153.23,20.5174,34.3618,19.496
2650200,2225.26,3767.3,2135.72,20.1518,34.1164,19.3409
2649628,2235.76,3747.87,2131.74,20.2513,33.9478,19.309
2650797,2263.55,3788.52,2144.23,20.4939,34.3008,19.4136
2649831,2259.77,3805.71,2150.93,20.4672,34.469,19.4814
2649902,2262.65,3750.16,2123.09,20.4926,33.9649,19.2287
2650459,2521.4,4100.53,2346.24,22.8314,37.1305,21.2453
2650677,2606.29,4158.75,2397.58,23.5981,37.6545,21.7084
2650139,2590.65,4146.89,2390.51,23.4612,37.5548,21.6488
2650614,2646.18,4231.89,2434.46,23.9599,38.3177,22.0429
2650450,2614.54,4233.57,2438.61,23.6748,38.3352,22.0818
2650360,2639.07,4236.88,2441.56,23.8978,38.3665,22.1093
2649159,2600.37,4197.48,2419.85,23.558,38.0269,21.9226
2648788,2635.36,4225.92,2434.33,23.8783,38.29,22.0568
2651286,2518.99,4058.91,2325.15,22.8025,36.7421,21.0477
2649922,2569.04,4137.52,2375.11,23.2674,37.473,21.5111
2651073,2541.22,4027.79,2324.43,23.0055,36.4633,21.0429
