Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2321308,1910.41,3374.47,1937.9,19.7517,34.8886,20.036
2320228,1958.21,3498.2,2010.2,20.2554,36.1848,20.7931
2319184,1990.35,3572.21,2043.76,20.597,36.9669,21.1498
2321134,2018.33,3607.78,2068.77,20.8691,37.3036,21.3906
2320870,2033.79,3589.72,2077.26,21.0313,37.1211,21.4808
2321072,1898.21,3432.94,1962.15,19.6276,35.4968,20.2887
2320838,1871.7,3355.32,1921.85,19.3554,34.6977,19.874
2320581,1854.14,3431.45,1943.12,19.176,35.4888,20.0962
2320810,1850.82,3365,1915.26,19.1398,34.7982,19.8061
2320534,1858.23,3406.89,1936.42,19.2186,35.2355,20.0273
2320204,1874.74,3422.73,1946.83,19.3922,35.4044,20.1378
2320490,1889.19,3498.98,1983.8,19.5392,36.1887,20.5177
2321047,1872.9,3448.41,1947.63,19.3661,35.6571,20.1388
2319904,1873,3453.72,1958.38,19.3767,35.7296,20.26
2319972,1856.49,3495.32,1974.97,19.2053,36.1589,20.431
2320451,1862.6,3384.83,1919.83,19.2646,35.0086,19.8565
2321533,1880.74,3497.58,1971.2,19.4431,36.158,20.3783
2320884,1853.85,3436.64,1950.58,19.1705,35.5379,20.1708
2320706,1862.9,3443.05,1955.34,19.2656,35.6069,20.2215
2320802,1840.42,3434.22,1931.44,19.0323,35.5141,19.9735
2320996,1850.92,3399.74,1935.34,19.1392,35.1546,20.0122
2320503,1843.16,3399.56,1930.49,19.0631,35.1602,19.9662
2319577,1851.65,3336.1,1904.12,19.1585,34.5177,19.7014
2319820,1847.76,3343.7,1902.56,19.1162,34.5927,19.6832
2320287,1864.44,3415.2,1932.05,19.2849,35.3253,19.9843
2320564,1849.36,3412.78,1929.25,19.1266,35.2961,19.953
2320734,1845.25,3339.22,1899.18,19.0828,34.5327,19.6405
2320081,1837.5,3377.86,1908.77,19.008,34.9422,19.7452
2321452,1833.84,3385.1,1917.92,18.9589,34.9964,19.8281
2320963,1837.15,3379.55,1919.33,18.9972,34.9463,19.8469
2319837,1836.76,3380.98,1904.98,19.0023,34.9781,19.7081
2321657,1841.81,3387.68,1918.33,19.0396,35.02,19.8307
2320041,1839.06,3383.64,1933.55,19.0244,35.0026,20.0019
2320037,1833.71,3362.6,1913.57,18.9691,34.785,19.7952
2319609,1850.81,3405.81,1926.77,19.1495,35.2384,19.9355
2320303,1836.24,3365.41,1920.52,18.9931,34.81,19.8649
2321026,1851.48,3432.35,1945.7,19.1448,35.4914,20.1191
2320052,1832.95,3384.9,1922.34,18.9611,35.0154,19.8858
2319894,1846.66,3408.79,1920.55,19.1043,35.2649,19.8686
2320720,1836.46,3370.78,1907.15,18.992,34.8594,19.723
2319567,1851.11,3334.16,1900.2,19.153,34.4978,19.6609
2320714,1830.48,3367.45,1922.63,18.9302,34.8249,19.8831
2320766,1836.71,3363.01,1904.73,18.9942,34.7782,19.6976
2320470,1833.5,3414.62,1927.38,18.9634,35.3165,19.9344
2321312,1847.39,3410.39,1931.44,19.1001,35.2599,19.9691
2319905,1826.64,3393.68,1918.88,18.8971,35.1084,19.8513
2321208,1845.66,3402.48,1921.16,19.0831,35.1798,19.8637
2321093,1834.7,3354.24,1906.04,18.9707,34.6827,19.7084
2319759,1854.31,3387.46,1923.1,19.1845,35.0463,19.8962
2321862,1841.28,3408.91,1926.01,19.0325,35.2363,19.9083
2320578,1833.74,3413.12,1920.67,18.965,35.2993,19.8641
2320739,1840.68,3390.43,1922.86,19.0354,35.0622,19.8854
2320940,1846.91,3385.25,1919.16,19.0983,35.0057,19.8453
2321119,1839.91,3372.36,1907.18,19.0243,34.8697,19.72
2321765,1834.64,3387.85,1914.32,18.9646,35.0201,19.7883
2320307,1944.86,3540.93,2003.24,20.1166,36.6255,20.7204
2321152,1906.24,3461.23,1971.62,19.7099,35.7881,20.3859
2320502,1837.8,3414.25,1936.06,19.0076,35.3121,20.0239
2320878,1842.72,3368.4,1906.67,19.0554,34.8324,19.7167
2320388,1830.11,3340.17,1899.35,18.929,34.5477,19.6452
2321172,1837.6,3415.83,1921.02,19.0001,35.3183,19.8626
2320355,1828.7,3367.29,1904.44,18.9147,34.8287,19.6981
2320606,1836.66,3395.62,1919.17,18.995,35.118,19.8483
2321122,1826.75,3336.15,1888.82,18.8883,34.4952,19.5301
2321309,1834.4,3423.53,1947.19,18.9659,35.3959,20.132
2320657,1829.89,3380.84,1914.58,18.9245,34.9644,19.8003
2320725,1838.02,3380.02,1919.67,19.0081,34.9548,19.8524
2319745,1832.73,3422.36,1935.31,18.9614,35.4076,20.0226
2321079,1831.84,3356.72,1905.19,18.9412,34.7086,19.6997
2320073,1840.11,3394.33,1924.65,19.035,35.1126,19.9096
2320516,1828.46,3399.6,1926.74,18.9109,35.1604,19.9273
2320588,1827.43,3382.01,1910.6,18.8996,34.9774,19.7598
2320325,1841.47,3394.59,1915.85,19.047,35.1115,19.8164
2320686,1828.96,3373.08,1911.16,18.9147,34.8836,19.7648
2320525,1824.2,3351.76,1904.3,18.8667,34.6655,19.6952
2319197,1834.98,3409.28,1925.54,18.9891,35.2806,19.9262
2320667,1841.95,3419.48,1929.8,19.0492,35.3637,19.9577
2320636,1825.38,3389.32,1915.79,18.8781,35.0523,19.813
2321001,1837.44,3363.25,1910.08,18.9998,34.7773,19.7509
2319519,1837.75,3416.44,1930.17,19.0151,35.3499,19.9714
2320269,1827.39,3390.45,1912.87,18.9018,35.0696,19.7861
2320594,1827.49,3356.3,1905.16,18.9003,34.7115,19.7035
2320645,1854.1,3422.63,1928.47,19.175,35.3967,19.9442
2320505,1834.84,3313.3,1900.75,18.9769,34.2681,19.6586
2320870,1815.08,3334.7,1892.16,18.7696,34.4839,19.5667
2320349,1839.4,3391.52,1918.29,19.0254,35.0794,19.8414
2320756,1836.07,3383.73,1910.99,18.9876,34.9927,19.7624
2319586,1824.33,3401.74,1914.06,18.8758,35.1967,19.8042
2320120,1837.09,3422.67,1927.92,19.0034,35.4051,19.943
2320566,1823.01,3331.97,1900.67,18.8541,34.4602,19.6573
2320020,1839.26,3339.5,1898.9,19.0267,34.5462,19.6436
2321174,1831.13,3390.97,1916.57,18.9332,35.0613,19.8166
2321251,1833.14,3313.27,1886.61,18.9533,34.2567,19.5061
2320246,1840.22,3399.69,1941.84,19.0348,35.1655,20.0859
2320725,1825.42,3387.89,1915.83,18.8778,35.0362,19.8127
2320660,1825.06,3357.31,1906.51,18.8746,34.7209,19.7169
2320053,1848.72,3366.92,1917.31,19.1243,34.8294,19.8338
2321158,1833.31,3351.56,1909.4,18.9559,34.6541,19.7426
2320544,1835.1,3393.25,1924.03,18.9794,35.0944,19.8991
2321136,1821.42,3314.48,1894.25,18.833,34.271,19.5861
2320654,1839.82,3407.58,1932.53,19.0273,35.2409,19.986
2320188,1825.25,3404.37,1926.28,18.8803,35.2148,19.9254
2319837,1829.78,3373.34,1917.19,18.9301,34.8991,19.8344
2320501,1839.09,3410.57,1930.22,19.021,35.2741,19.9635
2320891,1830.8,3377.53,1917.12,18.932,34.9266,19.8247
2320624,1834.63,3401.56,1925.87,18.9738,35.1791,19.9175
2320708,1822.28,3410.04,1918.6,18.8454,35.2656,19.8415
2320978,1828.54,3357.9,1913.85,18.9079,34.7222,19.7901
2321437,1839.32,3376.35,1920.95,19.0157,34.9061,19.8596
2321277,1821.97,3358.08,1910.55,18.8376,34.7197,19.7535
2320462,1849.39,3374.49,1911.17,19.1278,34.9016,19.7668
2320546,1832.33,3422.36,1936.06,18.9506,35.3954,20.0235
2320158,1831.81,3365.08,1905.66,18.9484,34.8088,19.7124
