Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2459724,1993.42,3376.28,1932.67,19.4502,32.943,18.8575
2460327,2047.67,3453.01,1985.43,19.9746,33.6834,19.3675
2460359,2033.18,3474.08,1991.54,19.833,33.8885,19.4268
2460183,2108.83,3564.46,2057.7,20.5724,34.7727,20.0736
2460151,2133.52,3644.95,2088.81,20.8135,35.5583,20.3774
2460394,2061.07,3469.22,1997.55,20.1047,33.8406,19.4851
2459853,2039.38,3431.99,1986.26,19.8976,33.4848,19.3793
2460460,2055.57,3510.8,2021.84,20.0505,34.2453,19.7216
2460154,2047.03,3481.47,2003.34,19.9697,33.9634,19.5436
2459981,2103.02,3573.99,2048.5,20.5174,34.8685,19.9855
2460052,2073.4,3610.29,2065.47,20.2278,35.2216,20.1505
2459874,2090.16,3636.4,2073.87,20.3929,35.4789,20.2339
2460088,2061.24,3585.73,2054.21,20.1089,34.9815,20.0403
2459888,2078.54,3585.29,2053.28,20.2793,34.9801,20.0329
2460491,2085.81,3599.36,2056.01,20.3453,35.1087,20.0546
2459878,2095.83,3635.33,2080.17,20.4481,35.4684,20.2953
2459818,2076.66,3636.3,2072.45,20.2615,35.4787,20.2205
2459599,2094.5,3579.88,2050.83,20.4374,34.9313,20.0114
2459614,2090.28,3671.55,2084.72,20.3962,35.8256,20.3419
2460076,2066.89,3579.26,2051.7,20.1642,34.9186,20.0159
2459679,2064.55,3634.32,2064.32,20.1445,35.4614,20.1423
2460379,2078.73,3648.25,2070.17,20.2771,35.5872,20.1936
2459688,2056.29,3600.53,2059.08,20.064,35.1316,20.0911
2460658,2080.18,3583.8,2049.94,20.2891,34.9545,19.9941
2459959,2080.55,3641.55,2085.79,20.2983,35.5279,20.3495
2460007,2055.52,3614.29,2053.01,20.0538,35.2613,20.0293
2459604,2073.03,3606.25,2054.02,20.2279,35.1885,20.0424
2459580,2087.96,3652.95,2080.58,20.3739,35.6446,20.3018
2460124,2063.06,3572.35,2045.36,20.1264,34.8504,19.9537
2460022,2075.31,3588.26,2039.92,20.2467,35.0071,19.9015
2460308,2067.21,3650.58,2069.65,20.1654,35.611,20.1891
2460140,2086.06,3597.88,2060.59,20.3506,35.0993,20.1022
2459971,2098.11,3604.95,2066.85,20.4696,35.1706,20.1647
2460396,2076.05,3559.79,2036.26,20.2509,34.724,19.8628
2460198,2075.16,3630.46,2070.72,20.2439,35.4163,20.2005
2459997,2083.46,3613.63,2067.33,20.3265,35.2549,20.1691
2460501,2065.84,3608.62,2055.14,20.1505,35.1989,20.0461
2459977,2083.85,3583.98,2055.74,20.3305,34.966,20.0562
2460247,2084.35,3600.74,2057.08,20.3331,35.1256,20.067
2460248,2073.94,3608.07,2059.85,20.2315,35.1971,20.094
2459997,2096.23,3683.52,2094.95,20.4511,35.9369,20.4385
2459838,2087.43,3659.7,2085.05,20.3666,35.7068,20.3433
2460402,2083.67,3576.8,2048.18,20.3252,34.8899,19.9789
2460603,2071.37,3605.18,2063.31,20.2035,35.1639,20.1249
2460233,2078.95,3593.55,2054.56,20.2805,35.0557,20.0426
2459975,2094.38,3631.16,2071.46,20.4332,35.4263,20.2095
2459874,2079.17,3639.25,2075.99,20.2856,35.5067,20.2546
2459829,2072.59,3600.87,2071.55,20.2218,35.1329,20.2116
2460219,2065.32,3601.14,2063.47,20.1477,35.13,20.1296
2459739,2099.82,3618.22,2071.9,20.4882,35.3034,20.2158
2460254,2072.02,3623.13,2060.72,20.2128,35.344,20.1025
2460288,2085.27,3588.62,2061.87,20.3417,35.0068,20.1135
2459892,2064.14,3605.07,2067.64,20.1388,35.173,20.173
2460297,2076.41,3553.85,2050.73,20.2552,34.6675,20.0047
2460122,2084.98,3594.03,2054.46,20.3402,35.0619,20.0425
