Total Bounces,Avg BVH Time (ms),Avg QTree Time (ms),Avg BSDF Invert Time (ms),BVH Per Bounce (us),QTree Per Bounce (us),BSDF Invert Per Bounce (us)
2737403,2594.61,3605.08,2123.15,22.7481,31.6073,18.6146
2737181,2687.04,3744.66,2216.83,23.5603,32.8337,19.4375
2737214,2781.51,3861.99,2300.23,24.3884,33.8621,20.1685
2737210,2836.53,3942.67,2357.28,24.8708,34.5695,20.6687
2736885,2905.02,4036.6,2408.64,25.4744,35.3973,21.1216
2736964,2855.3,3961,2359.52,25.0376,34.7333,20.6902
2737020,2832.37,3945.21,2337.45,24.8361,34.5942,20.4963
2737618,2865.75,4009.4,2371.67,25.1233,35.1494,20.7918
2737219,2883.19,4144.99,2429.7,25.2799,36.3433,21.3037
2737019,2836.87,4038.98,2376.13,24.8756,35.4165,20.8354
2737321,2841.97,4084.64,2398.74,24.9175,35.8129,21.0315
2736902,2840,4026.22,2372.17,24.9041,35.3061,20.8017
2737424,2836.86,4083.67,2408.46,24.8718,35.803,21.1159
2736854,2848.76,4126.42,2410.35,24.9813,36.1853,21.1369
2737254,2862.81,4043.17,2391.79,25.1009,35.4501,20.971
2737299,2837.86,4076.6,2392.02,24.8817,35.7427,20.9727
2737235,2839.2,4107.4,2396.66,24.894,36.0136,21.0139
2737025,2868.77,4100.34,2410.69,25.1553,35.9544,21.1385
2737325,2840.77,4060.54,2385.58,24.907,35.6015,20.916
2737485,2868.45,4079.67,2395.99,25.1482,35.7672,21.0061
2737075,2835,4044.27,2379.44,24.8587,35.4621,20.8641
2737183,2863.14,4039.82,2381.17,25.1044,35.4217,20.8785
2737082,2832.32,4052.57,2383.55,24.8351,35.5348,20.9
2736808,2847.91,4106.64,2405.59,24.9743,36.0125,21.0954
2736816,2850.27,4029.97,2387.52,24.9949,35.3401,20.9369
2737128,2863.36,4112.8,2413.94,25.1068,36.0623,21.1662
2737132,2876.81,4115.18,2431,25.2248,36.0832,21.3158
2736865,2853.37,4026.55,2375.98,25.0217,35.3095,20.8354
2737063,2853.86,4067.73,2399.78,25.0242,35.668,21.0425
2737375,2850.1,4011.67,2384.71,24.9883,35.1725,20.908
2737085,2865.83,4126.7,2413.19,25.1289,36.1848,21.16
2737537,2876.38,4078.45,2416.28,25.2173,35.7558,21.1835
2736979,2839.18,4063.74,2389.17,24.8962,35.6341,20.9501
2736914,2869.81,4129.29,2420.07,25.1653,36.2098,21.2216
2737091,2858.78,4087.35,2402.62,25.067,35.8397,21.0672
2737068,2843.87,4020.28,2377.8,24.9365,35.2518,20.8497
2737249,2886.86,4105.58,2414.86,25.3118,35.9974,21.1733
2737371,2860.64,4119.76,2408.18,25.0808,36.1202,21.1138
2736976,2857.63,4066.73,2409.97,25.058,35.6604,21.1325
2736944,2860.22,4071.47,2401.13,25.081,35.7023,21.0553
2736930,2872.04,4080.59,2411.87,25.1848,35.7825,21.1496
2737074,2855.16,4095.08,2410.03,25.0355,35.9077,21.1323
2737200,2872.48,4063.77,2387.98,25.1862,35.6315,20.938
2736950,2865.65,4073.67,2399.98,25.1286,35.7216,21.0452
2737184,2864.58,4065.73,2397.57,25.117,35.6489,21.0222
2737115,2872.16,4143.82,2423.19,25.1841,36.3345,21.2474
2736936,2868.64,4052.06,2391.52,25.1549,35.5322,20.9711
2737457,2862.61,4111.48,2417.36,25.0973,36.0464,21.1936
2737322,2858.85,4080.15,2389.82,25.0656,35.7735,20.9532
2737121,2883.37,4127.65,2419.65,25.2823,36.1926,21.2163
2737026,2868.44,4106.47,2404.9,25.1523,36.0081,21.0877
2736973,2851.79,4069.02,2387.85,25.0068,35.6805,20.9386
2737142,2873.32,4107.63,2417.39,25.194,36.0168,21.1963
2737100,2839.21,4117.73,2406.48,24.8954,36.1059,21.101
2737008,2865.04,4100.39,2409.74,25.1226,35.9551,21.1303
2737360,2857.15,4059.98,2400.88,25.0503,35.5961,21.0499
2737291,2887.35,4104.88,2429.11,25.3157,35.9908,21.2979
2737338,2852.3,4084.35,2401,25.008,35.8101,21.0512
2737397,2861.18,4081.3,2416.8,25.0853,35.7826,21.1892
2737336,2845.17,4074.57,2403.27,24.9454,35.7244,21.0711
2736872,2871.17,4081.96,2411.24,25.1777,35.7953,21.1445
2737351,2844.7,4088.96,2409.56,24.9412,35.8504,21.1261
2737186,2871.85,4098.22,2419.32,25.1807,35.9337,21.2129
2737302,2863.9,4089.16,2416.94,25.11,35.8527,21.1912
2736785,2866.84,4079.51,2404.97,25.1405,35.7749,21.0902
2737199,2871.43,4173.23,2440.36,25.177,36.5912,21.3973
2737260,2861.51,4035.72,2380.65,25.0894,35.3847,20.8733
2737287,2855.75,4098.5,2410.58,25.0387,35.9348,21.1355
2737414,2866.16,4059.37,2395.39,25.1288,35.5901,21.0013
2737360,2894.17,4155.24,2436.52,25.3749,36.4313,21.3624
2737305,2867.45,4089.77,2406.41,25.1411,35.8581,21.0988
2737666,2882.17,4104.09,2418.01,25.2668,35.9789,21.1977
2737355,2863.53,4072.24,2401.53,25.1062,35.7037,21.0556
2737589,2861.82,4053.86,2394.97,25.0891,35.5396,20.9964
2737244,2884.65,4142.26,2442.64,25.2924,36.3191,21.4169
2737303,2840.94,4059.85,2400.02,24.9087,35.5958,21.0428
2737424,2881.75,4102.21,2428.02,25.2654,35.9656,21.2873
2737525,2888.1,4121.31,2429.14,25.3201,36.1317,21.2964
2736888,2871.7,4051.17,2402.93,25.1821,35.525,21.0715
2737112,2875.24,4036.71,2397.3,25.2111,35.3954,21.0204
2737090,2865.77,4138.38,2427.13,25.1283,36.2871,21.2821
2737200,2888.91,4091.33,2417.18,25.3302,35.8731,21.1941
2737084,2879.27,4102.74,2416.46,25.2468,35.9747,21.1886
2737358,2876.62,4074.51,2408.88,25.221,35.7236,21.1201
2736974,2855.32,4091.63,2412.45,25.0378,35.8788,21.1543
2737254,2880.5,4154.66,2439.21,25.256,36.4277,21.3867
2737319,2888.66,4083.6,2407.85,25.3269,35.8038,21.1114
2737566,2849.79,4082.93,2404.57,24.9839,35.7947,21.0807
2737584,2864.57,4135.94,2411.7,25.1133,36.2592,21.143
2737498,2871.87,4134.09,2431,25.1781,36.2441,21.3129
2737437,2840.35,4110.59,2393.28,24.9023,36.0389,20.9827
2736940,2881.01,4141.06,2428.4,25.2633,36.3126,21.2944
2737303,2866.73,4118.1,2415.78,25.1348,36.1065,21.181
2737202,2872.18,4082.75,2410.63,25.1835,35.7979,21.1366
2737549,2860.14,4045.94,2382.52,25.0747,35.4707,20.8875
2736939,2882.17,4061.01,2398.63,25.2735,35.6107,21.0334
2737194,2853.01,4078.96,2394.89,25.0154,35.7647,20.9987
2737179,2882.32,4115.91,2423.38,25.2726,36.0889,21.2486
2737013,2863.47,4079.1,2394.2,25.1088,35.7683,20.994
2736808,2864.91,4100.6,2410.64,25.1233,35.9595,21.1397
2737185,2864.78,4133.87,2419.37,25.1188,36.2463,21.2134
2737456,2867.58,4114.87,2413.73,25.1408,36.0761,21.1618
2737441,2842.75,4068.9,2384.8,24.9233,35.6733,20.9082
2737468,2872.76,4123.93,2415.44,25.1862,36.1554,21.1767
2737003,2851.41,4031.08,2385.34,25.0032,35.3474,20.9164
2737162,2867.35,4059.15,2385.41,25.1415,35.5914,20.9158
2736966,2858.42,4087.82,2398.92,25.065,35.8454,21.0358
2737250,2869.68,4073.4,2407.67,25.1611,35.7153,21.1102
2737403,2862.95,4089.53,2398.24,25.1007,35.8547,21.0264
2737159,2861.56,4147.21,2415.3,25.0907,36.3636,21.1778
2737286,2875.68,4085.98,2402.91,25.2134,35.8251,21.0683
2737124,2868.09,4083.8,2404.4,25.1483,35.8081,21.0826
2736986,2876,4104.07,2407.96,25.2189,35.9876,21.1149
2737084,2864.18,4104.3,2400.46,25.1144,35.9884,21.0483
2737181,2896.81,4166.94,2438.49,25.3996,36.5363,21.381
2737066,2871.78,4115.57,2411.5,25.1813,36.0874,21.1453
2736930,2857.94,4027.66,2373.51,25.0611,35.3184,20.8132
2737562,2864.63,4141.82,2431.87,25.114,36.3111,21.32
2737485,2884.04,4143.78,2431.91,25.2849,36.3292,21.321
2737150,2850.45,4007.08,2374.99,24.9934,35.135,20.8245
2737109,2882.75,4151.11,2437.07,25.277,36.3985,21.3691
2736921,2866.28,4083.73,2412.28,25.1344,35.8101,21.1532
2736988,2870.11,4146.48,2430.32,25.1673,36.3595,21.3109
2737268,2859.77,4062.1,2399.67,25.0741,35.6159,21.04
2737449,2895.22,4138.82,2437.32,25.3832,36.2862,21.3687
2737124,2827.25,4039.71,2377.84,24.7903,35.4215,20.8497
2737614,2921.1,4130.55,2443.34,25.6085,36.2116,21.4202
2737234,2863.17,4112.85,2426.18,25.1042,36.0614,21.2727
2737500,2838.59,4048.87,2384.26,24.8863,35.4969,20.9031
2737289,2881.25,4071.06,2414.18,25.2623,35.6943,21.1671
2736806,2859.12,4107.2,2415.21,25.0726,36.0175,21.1798
2737286,2870.48,4054.13,2405.8,25.1678,35.5458,21.0936
2737120,2872.35,4051.12,2407.32,25.1858,35.5216,21.1082
2737521,2863.15,4055.85,2394.93,25.1014,35.5578,20.9965
2737497,2879.43,4054.11,2403.64,25.2443,35.5429,21.0731
2737396,2871.76,4124.47,2421.99,25.178,36.1611,21.2347
2737430,2857.85,4063.85,2398.77,25.0558,35.6292,21.0308
2737067,2877.04,4088.9,2403.63,25.2274,35.8535,21.0763
2737167,2875.56,4140.94,2426.02,25.2135,36.3085,21.2718
2736547,2867.09,4083.91,2409.61,25.1449,35.8166,21.1327
2737467,2880.29,4104.51,2418.28,25.2522,35.9851,21.2017
2737240,2889.31,4131.35,2427.98,25.3333,36.2235,21.2884
2737298,2862.73,4069.4,2402.84,25.0998,35.6795,21.0675
2736986,2876.48,4074.59,2412.99,25.2232,35.7291,21.159
2737496,2867.01,4112.36,2423.6,25.1355,36.0536,21.2481
2737140,2866.06,4074.23,2403.92,25.1304,35.7239,21.0783
2736988,2882.41,4127,2422.17,25.2752,36.1887,21.2394
2737049,2853.31,4057.45,2403.01,25.0195,35.578,21.0709
2737234,2885.37,4073.27,2405.82,25.2989,35.7143,21.0942
2737170,2881.5,4036.69,2391.31,25.2655,35.3944,20.9674
2736981,2875.87,4070.34,2400.19,25.2179,35.6919,21.0467
2737237,2867.46,4161.35,2426.41,25.1418,36.4866,21.2747
2737707,2884.23,4130.25,2424.98,25.2845,36.2077,21.2585
2737056,2872.79,4065.28,2395.65,25.1902,35.6466,21.0064
2737413,2873.03,4104,2415.98,25.189,35.9814,21.1819
2737424,2880.75,4114.39,2420.38,25.2566,36.0723,21.2204
2737248,2888.03,4074.43,2403.17,25.322,35.7243,21.0708
2737730,2894.51,4139.22,2443.52,25.3744,36.286,21.4209
2737352,2889.84,4138.55,2430.06,25.3369,36.2851,21.3058
2736911,2881.86,4098.29,2416.45,25.271,35.938,21.1898
2737605,2873.64,4104.3,2407.51,25.1926,35.9815,21.1062
2737472,2889.88,4093.65,2412.92,25.3362,35.8899,21.1546
2737284,2895.11,4105.75,2426.24,25.3838,35.9984,21.2729
2737347,2860.41,4052.74,2398.8,25.079,35.5328,21.0318
2737396,2914.61,4136.35,2431.11,25.5537,36.2653,21.3146
2737009,2890.47,4132.67,2428.21,25.3456,36.2381,21.2923
2737204,2902,4132.07,2433.79,25.4449,36.2303,21.3396
2737298,2874.53,4134.93,2431.43,25.2033,36.2541,21.3183
2737293,2880.92,4110,2420.29,25.2593,36.0356,21.2206
2736977,2871.14,4124.11,2412.45,25.1764,36.1635,21.1542
2737116,2878.32,4075.89,2411.77,25.2381,35.7389,21.1472
2737523,2894.35,4105.21,2427.69,25.3749,35.9906,21.2837
2736924,2876.05,4113.21,2421.57,25.22,36.0686,21.2347
2737163,2891.98,4133.13,2440.57,25.3575,36.2401,21.3994
2737229,2862.21,4043.65,2390.79,25.0959,35.4547,20.9625
2737207,2895.99,4126.17,2437.78,25.3922,36.1785,21.3746
2737511,2876.79,4083.16,2409.62,25.2211,35.7974,21.1253
2737338,2880.75,4068.19,2409.74,25.2574,35.6684,21.1277
2737395,2908.18,4168,2447.9,25.4974,36.5427,21.4618
2737258,2881.65,4133.55,2436.72,25.266,36.2426,21.3649
2737321,2878.32,4084.25,2408.6,25.2362,35.8095,21.1179
2737296,2902.34,4113.75,2428.4,25.447,36.0684,21.2917
2737189,2873.41,4031.79,2386.92,25.1944,35.3513,20.9288
2736959,2879.26,4090.07,2417.76,25.2478,35.8652,21.201
2737272,2902.98,4137.54,2425.44,25.4529,36.2774,21.2659
2736960,2874.17,4133.26,2423.8,25.2031,36.244,21.254
2737186,2905.98,4108.53,2429.56,25.48,36.0241,21.3027
